name,team,position,value,total_points
Aaron Cresswell,21,2,49.0,6.0
Aaron Lennon,90,3,54.0,2.0
Aaron Ramsdale,91,1,40.0,0.0
Aaron Ramsey,3,3,68.0,2.0
Aaron Wan-Bissaka,31,3,45.0,0.0
Abdoulaye Doucouré,57,3,52.0,5.0
Adam Federici,91,1,40.0,0.0
Adam Lallana,14,3,73.0,0.0
Adam Smith,91,2,48.0,0.0
Ademola Lookman,11,3,51.0,0.0
Adrian Mariappa,57,2,42.0,1.0
Adrián San Miguel del Castillo,21,1,40.0,11.0
Ahmed Musa,13,4,61.0,0.0
Aiden O'Neill,90,3,45.0,0.0
Ainsley Maitland-Niles,3,3,45.0,2.0
Alberto Moreno,14,2,43.0,1.0
Aleksandar Kolarov,43,2,55.0,0.0
Alexis Sánchez,1,3,115.0,3.0
Alex Iwobi,3,3,51.0,2.0
Alex McCarthy,20,1,44.0,8.0
Alex Oxlade-Chamberlain,14,3,56.0,0.0
Alex Palmer,35,1,40.0,0.0
Alex Pritchard,38,3,54.0,1.0
Alfie Mawson,80,2,51.0,2.0
Allan-Roméo Nyom,35,2,47.0,5.0
Ander Herrera,1,3,50.0,3.0
Andreas Pereira,1,3,49.0,0.0
Andrew Robertson,14,2,51.0,2.0
Andrew Surman,91,3,43.0,8.0
Andre Gray,57,4,63.0,7.0
Andros Townsend,31,3,56.0,2.0
André Ayew,80,3,68.0,2.0
Andy Carroll,21,4,57.0,1.0
Andy King,80,3,42.0,2.0
Angelo Ogbonna,21,2,42.0,6.0
Angel Rangel,80,2,39.0,0.0
Anthony Martial,1,3,78.0,0.0
Antonio Valencia,1,2,69.0,6.0
Arthur Masuaku,21,2,42.0,6.0
Artur Boruc,91,1,41.0,0.0
Ashley Barnes,90,4,54.0,1.0
Ashley Fletcher,21,4,45.0,0.0
Ashley Westwood,90,3,43.0,2.0
Ashley Williams,11,2,52.0,0.0
Ashley Young,1,3,48.0,1.0
Asmir Begovic,91,1,45.0,9.0
Axel Tuanzebe,1,2,39.0,0.0
Bakary Sako,31,3,48.0,0.0
Bamidele Alli,6,3,90.0,2.0
Benik Afobe,91,4,57.0,0.0
Benjamin Chilwell,13,2,44.0,0.0
Ben Davies,6,2,58.0,6.0
Ben Foster,35,1,43.0,10.0
Ben Hamer,13,1,43.0,0.0
Ben Mee,90,2,49.0,0.0
Ben Watson,57,3,43.0,0.0
Ben Woodburn,14,3,42.0,0.0
Boaz Myhill,35,1,40.0,0.0
Bojan Krkic Perez,110,3,55.0,0.0
Bradley Smith,91,2,39.0,0.0
Brandon Mason,57,2,39.0,0.0
Bruno Martins Indi,110,2,49.0,0.0
Callum Wilson,91,4,56.0,2.0
Calum Chambers,3,2,47.0,0.0
Cameron Carter-Vickers,6,2,45.0,0.0
