name,team,position,value,total_points
Henrikh Mkhitaryan,3,3,84.0,9.0
Heung-Min Son,6,3,80.0,3.0
Heurelho da Silva Gomes,57,1,45.0,0.0
Hugo Lloris,6,1,55.0,6.0
Héctor Bellerín,3,2,59.0,5.0
Ibrahim Afellay,110,3,49.0,0.0
Idrissa Gueye,11,3,50.0,2.0
Ilkay Gündogan,43,3,54.0,1.0
Isaac Success Ajayi,57,3,54.0,0.0
Islam Slimani,4,4,68.0,1.0
Jack Butland,110,1,50.0,1.0
Jack Cork,90,3,45.0,1.0
Jack Stephens,20,2,50.0,0.0
Jack Wilshere,3,3,54.0,0.0
Jake Livermore,35,3,50.0,0.0
James Collins,21,2,44.0,1.0
James McArthur,31,3,45.0,1.0
James McCarthy,11,3,49.0,0.0
James McClean,35,3,50.0,0.0
James Milner,14,3,64.0,2.0
James Morrison,35,3,55.0,3.0
James Tarkowski,90,2,45.0,2.0
James Tomkins,31,2,44.0,0.0
James Ward-Prowse,20,3,54.0,1.0
Jamie Vardy,13,4,85.0,9.0
Jan Vertonghen,6,2,60.0,7.0
Jason Puncheon,31,3,49.0,1.0
Javier Manquillo,4,2,45.0,0.0
Jay Fulton,80,3,45.0,0.0
Jay Rodriguez,35,3,59.0,2.0
Jefferson Montero,80,3,49.0,0.0
Jeffrey Schlupp,31,2,48.0,2.0
Jeff Hendrick,90,3,54.0,0.0
Jermain Defoe,91,4,78.0,7.0
Jerome Sinclair,57,4,50.0,0.0
Jesse Lingard,1,3,59.0,4.0
Joel Dinis Castro Pereira,1,1,39.0,0.0
Joel Matip,14,2,55.0,2.0
Joel Robles,11,1,44.0,0.0
Joel Ward,31,2,49.0,1.0
Joe Allen,110,3,54.0,6.0
Joe Hart,21,1,45.0,6.0
Johann Berg Gudmundsson,90,3,50.0,1.0
John Stones,43,2,55.0,6.0
Jonathan Leko,35,3,45.0,0.0
Jonathan Walters,90,3,54.0,0.0
Jonjoe Kenny,11,2,44.0,0.0
Jonny Evans,35,2,49.0,6.0
Jon Flanagan,14,2,45.0,0.0
Jordan Ayew,80,4,50.0,2.0
Jordan Henderson,14,3,55.0,0.0
Jordan Pickford,11,1,50.0,1.0
Jordon Ibe,91,3,49.0,7.0
Jordy Clasie,20,3,44.0,0.0
Jose Luis Mato Sanmartín,4,4,55.0,2.0
Joseph Gomez,14,2,45.0,0.0
Jose Fonte,21,2,49.0,6.0
Joshua King,91,3,73.0,2.0
Joshua Sims,20,3,44.0,0.0
Josh Tymon,110,2,45.0,0.0
José Holebas,57,2,50.0,-2.0
Juan Mata,1,3,70.0,3.0
Julian Speroni,31,1,40.0,0.0
Junior Stanislas,91,3,59.0,0.0
Jérémy Pied,20,2,43.0,0.0
Kane Wilson,35,2,40.0,0.0
Kasper Schmeichel,13,1,50.0,2.0
Kelechi Iheanacho,13,4,68.0,2.0
Keshi Anderson,31,4,45.0,0.0
Kevin De Bruyne,43,3,99.0,6.0
Kevin Long,90,2,40.0,0.0
Kevin Mirallas,11,3,63.0,1.0
Kevin Wimmer,110,2,44.0,0.0
Kieran Gibbs,35,2,50.0,6.0
Kieran Trippier,6,2,54.0,6.0
Kristoffer Nordfeldt,80,1,40.0,0.0
Kurt Zouma,110,2,55.0,1.0
Kyle Naughton,80,2,45.0,6.0
Kyle Walker,43,2,65.0,10.0
Laurent Koscielny,3,2,60.0,7.0
Lee Grant,110,1,44.0,0.0
Leighton Baines,11,2,60.0,0.0
Leiva Lucas,14,3,45.0,0.0
Leonardo Ulloa,36,4,49.0,0.0
Leon Britton,80,3,45.0,0.0
Leroy Fer,80,3,55.0,1.0
Leroy Sané,43,3,82.0,1.0
Lewis Cook,91,3,44.0,0.0
Loris Karius,14,1,49.0,0.0
Lucas Pérez,3,4,74.0,0.0
Luciano Narsingh,80,3,49.0,0.0
Lukasz Fabianski,80,1,45.0,11.0
Luka Milivojevic,31,3,48.0,1.0
Luke Shaw,1,2,49.0,0.0
Lys Mousset,91,4,49.0,0.0
Maarten Stekelenburg,11,1,44.0,0.0
Mamadou Sakho,31,2,49.0,0.0
Mame Biram Diouf,110,4,54.0,2.0
Manolo Gabbiadini,20,4,70.0,1.0
Manuel Agudo Durán,43,3,70.0,0.0
Manuel Lanzini,21,3,69.0,0.0
Marcos Alonso,8,2,71.0,6.0
Marcos Rojo,1,2,54.0,0.0
Marcus Rashford,1,4,75.0,2.0
Marc Albrighton,13,3,55.0,2.0
Marc Muniesa,110,2,45.0,0.0
Marc Pugh,91,3,49.0,2.0
Marko Arnautovic,21,3,69.0,1.0
Marko Grujic,14,3,44.0,0.0
Mark Noble,21,3,55.0,0.0
Marouane Fellaini,1,3,49.0,3.0
Martin Kelly,31,2,44.0,0.0
Martin Olsson,80,2,50.0,6.0
Mason Holgate,11,2,44.0,0.0
Matteo Darmian,1,2,52.0,0.0
Matthew Lowton,90,2,45.0,2.0
Matthew Pennington,11,2,40.0,0.0
Matt Phillips,35,3,60.0,3.0
Matt Targett,20,2,44.0,0.0
Mauro Zárate,57,4,54.0,0.0
Max Gradel,91,3,50.0,0.0
Maya Yoshida,20,2,50.0,8.0
Mesut Özil,3,3,95.0,0.0
Michael Carrick,1,3,44.0,0.0
Michael Keane,11,2,55.0,0.0
Michail Antonio,21,3,75.0,2.0
Michel Vorm,6,1,49.0,0.0
Michy Batshuayi,8,4,82.0,0.0
Miguel Britos,57,2,45.0,0.0
Mike van der Hoorn,80,2,45.0,5.0
Modou Barrow,80,4,50.0,0.0
Mohamed Diamé,4,3,48.0,1.0
Mohamed Elneny,3,3,45.0,0.0
Molla Wagué,57,2,45.0,0.0
Morgan Schneiderlin,11,3,50.0,2.0
Mousa Dembélé,6,3,50.0,0.0
Moussa Sissoko,6,3,54.0,3.0
Muhamed Bešić,11,3,45.0,0.0
N'Golo Kanté,8,3,50.0,3.0
Nacer Chadli,35,3,58.0,0.0
Nacho Monreal,3,2,54.0,9.0
Nampalys Mendy,13,3,45.0,0.0
Nathaniel Chalobah,57,3,45.0,2.0
Nathaniel Clyne,14,2,54.0,0.0
Nathan Aké,91,2,50.0,2.0
Nathan Dyer,80,3,45.0,0.0
Nathan Redmond,20,3,65.0,3.0
Nemanja Matic,1,3,50.0,6.0
Nick Pope,90,1,45.0,4.0
Nicolás Otamendi,43,2,55.0,12.0
Nordin Amrabat,57,3,50.0,0.0
Olayinka Fredrick Oladotun Ladapo,31,4,45.0,0.0
Oliver McBurnie,80,4,45.0,0.0
Olivier Giroud,8,4,84.0,1.0
Oluwaseyi Ojo,14,3,50.0,0.0
Oriol Romeu Vidal,20,3,45.0,3.0
Pablo Zabaleta,21,2,49.0,6.0
Pape Souaré,31,2,45.0,0.0
Patrick van Aanholt,31,2,54.0,0.0
Paul Pogba,1,3,82.0,0.0
Paul Robinson,90,1,45.0,0.0
Pedro Obiang,21,3,45.0,3.0
