name,team,position,value,total_points
Aaron Cresswell,21,2,49.0,0.0
Aaron Lennon,90,3,49.0,0.0
Aaron Ramsdale,91,1,45.0,3.0
Aaron Wan-Bissaka,1,3,55.0,6.0
Abdoulaye Doucouré,57,3,58.0,2.0
Adama Traoré,39,3,50.0,1.0
Adam Lallana,14,3,59.0,0.0
Adam Smith,91,2,45.0,0.0
Ademola Lookman,11,3,50.0,0.0
Adrian Mariappa,57,2,44.0,0.0
Adrián San Miguel del Castillo,14,1,46.0,2.0
Ahmed El Mohamady,7,3,45.0,1.0
Ainsley Maitland-Niles,3,3,51.0,4.0
Alexis Sánchez,1,3,69.0,0.0
Alex Iwobi,11,3,59.0,2.0
Alex McCarthy,20,1,44.0,0.0
Alex Oxlade-Chamberlain,14,3,63.0,2.0
Andreas Pereira,1,3,50.0,3.0
Andrew Robertson,14,2,69.0,5.0
Andrew Surman,91,3,49.0,0.0
Andre Gray,57,4,59.0,1.0
Andros Townsend,31,3,58.0,2.0
Andy Carroll,4,4,54.0,0.0
Andy King,13,3,44.0,0.0
Angelo Ogbonna,21,2,45.0,6.0
Angel Gomes,1,3,49.0,0.0
Angus Gunn,20,1,45.0,9.0
Anthony Martial,1,3,77.0,0.0
Arthur Masuaku,21,2,45.0,3.0
Artur Boruc,91,1,44.0,0.0
Ashley Barnes,90,4,67.0,2.0
Ashley Westwood,90,3,54.0,1.0
Ashley Young,1,3,54.0,6.0
Asmir Begovic,91,1,44.0,0.0
Axel Tuanzebe,1,2,44.0,1.0
Bamidele Alli,6,3,84.0,0.0
Benjamin Chilwell,13,2,54.0,1.0
Ben Davies,6,2,55.0,1.0
Ben Foster,57,1,49.0,1.0
Ben Gibson,90,2,40.0,0.0
Ben Mee,90,2,50.0,2.0
Callum Wilson,91,4,78.0,13.0
Calum Chambers,3,2,45.0,0.0
Carl Jenkinson,3,2,45.0,0.0
Charlie Austin,20,4,60.0,0.0
Charlie Daniels,91,2,44.0,0.0
Cheikhou Kouyaté,31,3,49.0,2.0
Christian Benteke,31,4,59.0,1.0
Christian Eriksen,6,3,88.0,2.0
Christian Fuchs,13,2,45.0,0.0
Christian Kabasele,57,2,44.0,1.0
Chris Smalling,1,2,53.0,0.0
Claudio Bravo,43,1,49.0,0.0
Connor Wickham,31,4,45.0,0.0
Craig Cathcart,57,2,44.0,0.0
Craig Dawson,57,2,49.0,1.0
Cédric Soares,3,2,49.0,6.0
César Azpilicueta,8,2,59.0,1.0
Daniel Amartey,13,3,45.0,0.0
Daniel Drinkwater,7,3,45.0,0.0
Daniel James,1,3,62.0,2.0
Danny Ings,20,4,60.0,1.0
Danny Rose,4,2,55.0,5.0
Danny Welbeck,57,4,60.0,0.0
Dan Gosling,91,3,49.0,0.0
Daryl Janmaat,57,2,44.0,1.0
David de Gea,1,1,56.0,9.0
David Luiz Moreira Marinho,3,2,59.0,1.0
David Silva,43,3,75.0,1.0
DeAndre Yedlin,4,2,44.0,0.0
Declan Rice,21,3,49.0,3.0
Dejan Lovren,14,2,53.0,0.0
Demarai Gray,13,3,53.0,2.0
Divock Origi,14,4,54.0,1.0
Domingos Quina,57,3,45.0,0.0
Dominic Calvert-Lewin,11,4,58.0,6.0
Dominic Solanke,91,4,54.0,2.0
Eldin Jakupovic,13,1,45.0,0.0
Eric Bailly,1,2,49.0,0.0
Eric Dier,6,3,49.0,0.0
Erik Lamela,6,3,60.0,8.0
Erik Pieters,90,2,47.0,2.0
Etienne Capoue,57,3,49.0,1.0
Fabian Delph,11,3,54.0,0.0
Federico Fernández,4,2,44.0,1.0
Fernando Luiz Rosa,43,3,53.0,0.0
Fraser Forster,20,1,44.0,0.0
Gabriel Fernando de Jesus,43,4,95.0,4.0
Gary Cahill,31,2,45.0,0.0
Georges-Kévin Nkoudou,6,3,50.0,0.0
Georginio Wijnaldum,14,3,55.0,2.0
Gerard Deulofeu,57,3,62.0,7.0
Granit Xhaka,3,3,53.0,2.0
Gylfi Sigurdsson,11,3,78.0,2.0
Harry Kane,6,4,110.0,5.0
Harry Maguire,1,2,55.0,6.0
Harry Wilson,91,3,60.0,1.0
Harry Winks,6,3,55.0,2.0
Henrikh Mkhitaryan,3,3,69.0,0.0
Heung-Min Son,6,3,95.0,16.0
Heurelho da Silva Gomes,57,1,45.0,0.0
Hugo Lloris,6,1,55.0,8.0
Héctor Bellerín,3,2,54.0,0.0
Idrissa Gueye,11,3,50.0,0.0
