name,team,position,value,total_points
Aaron Cresswell,21,2,50.0,1.0
Aaron Lennon,90,3,54.0,2.0
Aaron Ramsdale,91,1,40.0,0.0
Aaron Ramsey,3,3,70.0,3.0
Abdoulaye Doucouré,57,3,54.0,3.0
Adam Federici,91,1,40.0,0.0
Adam Lallana,14,3,73.0,0.0
Adam Smith,91,2,48.0,1.0
Ademola Lookman,11,3,52.0,1.0
Adrian Mariappa,57,2,40.0,6.0
Adrián San Miguel del Castillo,21,1,43.0,0.0
Ahmed Musa,13,4,62.0,0.0
Ainsley Maitland-Niles,3,3,45.0,0.0
Alberto Moreno,14,2,46.0,6.0
Aleksandar Kolarov,43,2,55.0,0.0
Alexis Sánchez,1,3,118.0,7.0
Alex Iwobi,3,3,51.0,1.0
Alex McCarthy,20,1,44.0,0.0
Alex Oxlade-Chamberlain,14,3,57.0,1.0
Alex Palmer,35,1,40.0,0.0
Alfie Mawson,80,2,50.0,1.0
Allan-Roméo Nyom,35,2,50.0,0.0
Ander Herrera,1,3,51.0,1.0
Andreas Pereira,1,3,49.0,0.0
Andrew Robertson,14,2,47.0,0.0
Andrew Surman,91,3,47.0,6.0
Andre Gray,57,4,63.0,5.0
Andros Townsend,31,3,57.0,2.0
André Ayew,80,3,69.0,0.0
Andy Carroll,21,4,59.0,1.0
Andy King,80,3,44.0,0.0
Angelo Ogbonna,21,2,44.0,1.0
Angel Rangel,80,2,39.0,0.0
Anthony Martial,1,3,80.0,7.0
Antonio Valencia,1,2,67.0,2.0
Arthur Masuaku,21,2,44.0,1.0
Artur Boruc,91,1,43.0,0.0
Ashley Barnes,90,4,52.0,7.0
Ashley Fletcher,21,4,45.0,0.0
Ashley Westwood,90,3,44.0,0.0
Ashley Williams,11,2,52.0,0.0
Ashley Young,1,3,49.0,8.0
Asmir Begovic,91,1,45.0,8.0
Axel Tuanzebe,1,2,39.0,0.0
Bakary Sako,31,3,49.0,0.0
Bamidele Alli,6,3,93.0,2.0
Benik Afobe,91,4,57.0,0.0
Benjamin Chilwell,13,2,43.0,0.0
Ben Davies,6,2,58.0,1.0
Ben Foster,35,1,45.0,1.0
Ben Hamer,13,1,44.0,0.0
Ben Mee,90,2,46.0,6.0
Ben Watson,57,3,44.0,0.0
Ben Woodburn,14,3,44.0,0.0
Boaz Myhill,35,1,40.0,0.0
Bojan Krkic Perez,110,3,55.0,0.0
