name,team,position,value,total_points
Aaron Cresswell,21,2,52.0,0.0
Aaron Lennon,90,3,50.0,1.0
Aaron Ramsey,3,3,74.0,3.0
Aaron Wan-Bissaka,31,3,43.0,1.0
Abdoulaye Doucouré,57,3,59.0,1.0
Adama Traoré,39,3,55.0,0.0
Adam Lallana,14,3,69.0,0.0
Adam Smith,91,2,45.0,2.0
Ademola Lookman,11,3,52.0,0.0
Adrian Mariappa,57,2,43.0,0.0
Adrián San Miguel del Castillo,21,1,44.0,0.0
Ainsley Maitland-Niles,3,3,44.0,0.0
Alberto Moreno,14,2,43.0,0.0
Alexis Sánchez,1,3,101.0,0.0
Alex Iwobi,3,3,55.0,4.0
Alex McCarthy,20,1,45.0,2.0
Alex Oxlade-Chamberlain,14,3,64.0,0.0
Alex Pritchard,38,3,48.0,2.0
Alfie Mawson,54,2,50.0,0.0
Ander Herrera,1,3,50.0,0.0
Andreas Pereira,1,3,47.0,0.0
Andrew Robertson,14,2,63.0,2.0
Andrew Surman,91,3,48.0,0.0
Andre Gray,57,4,60.0,2.0
Andros Townsend,31,3,58.0,1.0
Andy Carroll,21,4,54.0,0.0
Angelo Ogbonna,21,2,43.0,0.0
Angus Gunn,20,1,44.0,0.0
Anthony Martial,1,3,72.0,2.0
Antonio Valencia,1,2,65.0,0.0
Arthur Masuaku,21,2,44.0,2.0
Artur Boruc,91,1,40.0,0.0
Ashley Barnes,90,4,57.0,0.0
Ashley Westwood,90,3,45.0,4.0
Ashley Williams,11,2,45.0,0.0
Ashley Young,1,3,58.0,0.0
Asmir Begovic,91,1,45.0,2.0
Bakary Sako,31,3,50.0,0.0
Bamidele Alli,6,3,90.0,0.0
Benjamin Chilwell,13,2,50.0,6.0
Ben Davies,6,2,57.0,0.0
Ben Foster,57,1,45.0,1.0
Ben Gibson,90,2,48.0,0.0
Ben Hamer,38,1,40.0,0.0
Ben Mee,90,2,49.0,2.0
Callum Wilson,91,4,63.0,5.0
Calum Chambers,54,2,44.0,0.0
Cesc Fàbregas,8,3,63.0,0.0
Charlie Austin,20,4,56.0,2.0
Charlie Daniels,91,2,43.0,0.0
Cheikhou Kouyaté,31,3,48.0,0.0
Christian Benteke,31,4,64.0,0.0
Christian Eriksen,6,3,93.0,0.0
Christian Fuchs,13,2,43.0,0.0
Christian Kabasele,57,2,45.0,1.0
Chris Smalling,1,2,58.0,1.0
Claudio Bravo,43,1,49.0,0.0
Connor Wickham,31,4,50.0,0.0
Craig Cathcart,57,2,45.0,-1.0
Cuco Martina,11,2,45.0,0.0
Cédric Soares,20,2,44.0,1.0
César Azpilicueta,8,2,64.0,2.0
Daley Blind,1,2,50.0,0.0
Daniel Amartey,13,3,45.0,3.0
Daniel Drinkwater,8,3,48.0,0.0
Daniel Sturridge,14,4,58.0,7.0
Danny Ings,20,4,57.0,2.0
Danny Rose,6,2,59.0,8.0
Danny Simpson,13,2,43.0,0.0
Danny Welbeck,3,4,65.0,1.0
Dan Gosling,91,3,49.0,1.0
Daryl Janmaat,57,2,50.0,0.0
David Luiz Moreira Marinho,8,2,55.0,3.0
David Silva,43,3,86.0,3.0
DeAndre Yedlin,4,2,45.0,1.0
Declan Rice,21,3,44.0,2.0
Dejan Lovren,14,2,49.0,0.0
Demarai Gray,13,3,55.0,0.0
Domingos Quina,57,3,44.0,0.0
Dominic Calvert-Lewin,11,4,54.0,1.0
Dominic Solanke,91,4,48.0,0.0
Eden Hazard,8,3,110.0,10.0
Edimilson Fernandes,21,3,45.0,0.0
Eldin Jakupovic,13,1,44.0,0.0
Emerson Hyndman,91,3,45.0,0.0
Eric Bailly,1,2,52.0,0.0
Eric Dier,6,3,48.0,3.0
Erik Lamela,6,3,64.0,0.0
Etienne Capoue,57,3,50.0,2.0
Fabian Delph,43,3,53.0,0.0
Federico Fernández,4,2,44.0,0.0
Fernando Llorente,6,4,57.0,0.0
Fernando Luiz Rosa,43,3,54.0,3.0
Fraser Forster,20,1,44.0,0.0
Gabriel Fernando de Jesus,43,4,103.0,1.0
Gary Cahill,8,2,52.0,0.0
Georges-Kévin Nkoudou,6,3,49.0,0.0
Georginio Wijnaldum,14,3,55.0,2.0
Gerard Deulofeu,57,3,54.0,0.0
Granit Xhaka,3,3,53.0,3.0
Gylfi Sigurdsson,11,3,73.0,14.0
Harry Arter,97,3,49.0,2.0
Harry Kane,6,4,124.0,13.0
Harry Maguire,13,2,55.0,18.0
Harry Winks,6,3,55.0,0.0
Henrikh Mkhitaryan,3,3,70.0,0.0
Heung-Min Son,6,3,83.0,3.0
Heurelho da Silva Gomes,57,1,44.0,0.0
Hugo Lloris,6,1,54.0,0.0
Héctor Bellerín,3,2,54.0,8.0
Idrissa Gueye,11,3,49.0,3.0
Ilkay Gündogan,43,3,56.0,0.0
Isaac Success Ajayi,57,3,45.0,1.0
Jack Cork,90,3,48.0,2.0
Jack Stephens,20,2,44.0,0.0
Jack Wilshere,21,3,49.0,0.0
James McArthur,31,3,49.0,2.0
James McCarthy,11,3,44.0,0.0
James Milner,14,3,57.0,1.0
James Tarkowski,90,2,50.0,1.0
James Tomkins,31,2,44.0,0.0
James Ward-Prowse,20,3,52.0,0.0
Jamie Vardy,13,4,89.0,8.0
Jan Vertonghen,6,2,60.0,1.0
Jason Puncheon,38,3,44.0,0.0
Javier Manquillo,4,2,44.0,1.0
Jeffrey Schlupp,31,2,45.0,1.0
Jeff Hendrick,90,3,55.0,0.0
Jermain Defoe,91,4,57.0,0.0
Jerome Sinclair,57,4,45.0,0.0
Jesse Lingard,1,3,68.0,0.0
Joel Matip,14,2,49.0,0.0
Joel Ward,31,2,43.0,0.0
Joe Hart,90,1,45.0,3.0
Johann Berg Gudmundsson,90,3,59.0,13.0
John Stones,43,2,54.0,0.0
Jonathan Walters,90,3,48.0,0.0
Jonjoe Kenny,11,2,43.0,6.0
Jonny Evans,13,2,49.0,0.0
Jordan Ayew,31,4,59.0,2.0
Jordan Henderson,14,3,53.0,2.0
Jordan Pickford,11,1,49.0,6.0
Jordon Ibe,91,3,52.0,0.0
Jose Luis Mato Sanmartín,4,4,50.0,2.0
Joseph Gomez,14,2,51.0,2.0
Joshua King,91,3,63.0,2.0
Joshua Sims,20,3,45.0,0.0
José Holebas,57,2,49.0,1.0
Juan Mata,1,3,62.0,1.0
Julian Speroni,31,1,40.0,0.0
Junior Stanislas,91,3,60.0,9.0
Kasper Schmeichel,13,1,50.0,6.0
Kelechi Iheanacho,13,4,59.0,2.0
Kevin De Bruyne,43,3,97.0,0.0
Kevin Long,90,2,43.0,2.0
Kevin Mirallas,11,3,55.0,0.0
Kieran Trippier,6,2,61.0,11.0
Kurt Zouma,11,2,50.0,8.0
Kyle Walker,43,2,66.0,7.0
Laurent Koscielny,3,2,54.0,0.0
Lee Grant,1,1,50.0,0.0
Leighton Baines,11,2,53.0,0.0
Leroy Sané,43,3,92.0,6.0
Lewis Cook,91,3,48.0,2.0
Loris Karius,14,1,49.0,0.0
Lucas Pérez,21,4,63.0,0.0
Lukasz Fabianski,21,1,45.0,3.0
Luka Milivojevic,31,3,62.0,2.0
Luke Shaw,1,2,51.0,4.0
Lys Mousset,91,4,50.0,0.0
Maarten Stekelenburg,11,1,40.0,0.0
Mamadou Sakho,31,2,50.0,0.0
Manolo Gabbiadini,20,4,57.0,1.0
Manuel Lanzini,21,3,64.0,0.0
Marcos Alonso,8,2,69.0,2.0
Marcos Rojo,1,2,49.0,0.0
Marcus Rashford,1,4,67.0,5.0
Marc Albrighton,13,3,53.0,1.0
Marc Pugh,91,3,44.0,0.0
Marko Arnautovic,21,3,69.0,7.0
Mark Noble,21,3,49.0,5.0
Marouane Fellaini,1,3,50.0,2.0
Martin Kelly,31,2,39.0,0.0
Mason Holgate,11,2,45.0,0.0
Matej Vydra,90,4,59.0,2.0
Matteo Darmian,1,2,47.0,0.0
Matthew Lowton,90,2,48.0,1.0
Matt Targett,20,2,43.0,0.0
Maya Yoshida,20,2,43.0,0.0
Mesut Özil,3,3,83.0,10.0
Michael Keane,11,2,49.0,8.0
Michail Antonio,21,3,68.0,1.0
Michel Vorm,6,1,49.0,0.0
Miguel Britos,57,2,44.0,0.0
Mohamed Diamé,4,3,50.0,2.0
Mohamed Elneny,3,3,43.0,0.0
Morgan Schneiderlin,11,3,45.0,1.0
Mousa Dembélé,6,3,49.0,1.0
Moussa Sissoko,6,3,49.0,1.0
N'Golo Kanté,8,3,50.0,2.0
Nacho Monreal,3,2,55.0,6.0
Nampalys Mendy,13,3,45.0,3.0
Nathaniel Chalobah,57,3,45.0,0.0
Nathaniel Clyne,91,2,47.0,0.0
Nathan Aké,91,2,50.0,2.0
Nathan Redmond,20,3,54.0,2.0
Nemanja Matic,1,3,50.0,2.0
Nick Pope,90,1,49.0,0.0
Nicolás Otamendi,43,2,61.0,6.0
Oleksandr Zinchenko,43,3,48.0,3.0
Olivier Giroud,8,4,78.0,2.0
Oriol Romeu Vidal,20,3,44.0,0.0
Oumar Niasse,97,4,52.0,0.0
Pablo Zabaleta,21,2,43.0,8.0
Pape Souaré,31,2,43.0,0.0
Patrick van Aanholt,31,2,55.0,10.0
Paulo Gazzaniga,6,1,45.0,7.0
Paul Pogba,1,3,82.0,2.0
Pedro Obiang,21,3,44.0,2.0
Pedro Rodríguez Ledesma,8,3,66.0,0.0
Petr Cech,3,1,50.0,1.0
Phil Bardsley,90,2,44.0,0.0
Phil Jagielka,11,2,43.0,0.0
Phil Jones,1,2,52.0,0.0
Pierre-Emile Højbjerg,20,3,45.0,2.0
Ragnar Klavan,14,2,44.0,0.0
Raheem Sterling,43,3,110.0,14.0
Ramadan Sobhi,38,3,48.0,0.0
Reece Oxford,21,2,44.0,0.0
Riyad Mahrez,43,3,86.0,1.0
Robbie Brady,90,3,54.0,0.0
Robert Kenedy Nunes do Nascimento,4,3,49.0,2.0
Roberto Firmino,14,3,94.0,2.0
