name,team,position,value,total_points
Aaron Ramsdale,91,1,40.0,0.0
Aaron Wan-Bissaka,31,3,45.0,2.0
Abdoulaye Doucouré,57,3,55.0,2.0
Adam Federici,91,1,40.0,0.0
Adam Lallana,14,3,73.0,0.0
Adam Smith,91,2,48.0,0.0
Ademola Lookman,11,3,51.0,0.0
Adrian Mariappa,57,2,42.0,0.0
Alberto Moreno,14,2,44.0,0.0
Alex Oxlade-Chamberlain,14,3,56.0,1.0
Alex Palmer,35,1,40.0,0.0
Alex Pritchard,38,3,54.0,2.0
Allan-Roméo Nyom,35,2,48.0,1.0
Andrew Robertson,14,2,50.0,11.0
Andrew Surman,91,3,44.0,0.0
Andre Gray,57,4,63.0,0.0
Andros Townsend,31,3,56.0,6.0
Artur Boruc,91,1,41.0,0.0
Ashley Williams,11,2,52.0,0.0
Asmir Begovic,91,1,45.0,3.0
Bakary Sako,31,3,49.0,0.0
Benik Afobe,91,4,57.0,0.0
Ben Foster,35,1,44.0,2.0
Ben Watson,57,3,43.0,0.0
Ben Woodburn,14,3,42.0,0.0
Boaz Myhill,35,1,40.0,0.0
Bojan Krkic Perez,110,3,55.0,0.0
Bradley Smith,91,2,39.0,0.0
Brandon Mason,57,2,39.0,0.0
Bruno Martins Indi,110,2,49.0,0.0
Callum Wilson,91,4,60.0,2.0
Carl Stewart,57,3,45.0,0.0
Charlie Adam,110,3,47.0,-2.0
Charlie Daniels,91,2,47.0,5.0
Christian Benteke,31,4,76.0,2.0
Christian Kabasele,57,2,44.0,0.0
Chris Brunt,35,2,50.0,2.0
Chung-yong Lee,31,3,42.0,0.0
Claudio Yacob,35,3,43.0,2.0
Connor Wickham,31,4,54.0,0.0
Costel Pantilimon,57,1,45.0,0.0
Craig Cathcart,57,2,44.0,0.0
Craig Dawson,35,2,48.0,0.0
Cuco Martina,11,2,44.0,0.0
Damien Delaney,31,2,42.0,0.0
Daniel Sturridge,35,4,79.0,0.0
Danny Ings,14,4,54.0,4.0
Dan Gosling,91,3,48.0,2.0
