name,team,position,value,total_points
Aaron Cresswell,21,2,47.0,1.0
Aaron Lennon,90,3,46.0,0.0
Aaron Ramsdale,91,1,47.0,4.0
Aaron Wan-Bissaka,1,3,53.0,1.0
Abdoulaye Doucouré,57,3,56.0,1.0
Adama Traoré,39,3,57.0,5.0
Adam Lallana,14,3,58.0,0.0
Adam Smith,91,2,43.0,2.0
Ademola Lookman,11,3,50.0,0.0
Adrian Mariappa,57,2,42.0,1.0
Adrián San Miguel del Castillo,14,1,41.0,0.0
Ahmed El Mohamady,7,3,42.0,0.0
Ainsley Maitland-Niles,3,3,46.0,0.0
Alexis Sánchez,1,3,68.0,0.0
Alex Iwobi,11,3,56.0,0.0
Alex McCarthy,20,1,44.0,6.0
Alex Oxlade-Chamberlain,14,3,62.0,10.0
Andreas Pereira,1,3,49.0,1.0
Andrew Robertson,14,2,70.0,6.0
Andrew Surman,91,3,47.0,0.0
Andre Gray,57,4,56.0,1.0
Andros Townsend,31,3,56.0,0.0
Andy Carroll,4,4,54.0,0.0
Andy King,13,3,43.0,0.0
Angelo Ogbonna,21,2,45.0,1.0
Angel Gomes,1,3,48.0,0.0
Angus Gunn,20,1,43.0,0.0
Anthony Martial,1,3,79.0,2.0
Arthur Masuaku,21,2,42.0,1.0
Artur Boruc,91,1,43.0,0.0
Ashley Barnes,90,4,62.0,0.0
Ashley Westwood,90,3,54.0,2.0
Ashley Young,1,3,54.0,0.0
Asmir Begovic,91,1,42.0,0.0
Axel Tuanzebe,1,2,44.0,0.0
Bamidele Alli,6,3,85.0,13.0
Benjamin Chilwell,13,2,56.0,2.0
Ben Davies,6,2,53.0,0.0
Ben Foster,57,1,49.0,2.0
Ben Gibson,90,2,39.0,0.0
Ben Mee,90,2,50.0,10.0
Callum Wilson,91,4,74.0,8.0
Calum Chambers,3,2,44.0,0.0
Carl Jenkinson,3,2,45.0,0.0
Charlie Austin,20,4,60.0,0.0
Charlie Daniels,91,2,43.0,0.0
Cheikhou Kouyaté,31,3,49.0,2.0
Christian Benteke,31,4,57.0,0.0
Christian Eriksen,6,3,86.0,1.0
Christian Fuchs,13,2,43.0,0.0
Christian Kabasele,57,2,43.0,1.0
Chris Smalling,1,2,52.0,0.0
Claudio Bravo,43,1,48.0,0.0
Connor Wickham,31,4,44.0,1.0
Craig Cathcart,57,2,43.0,0.0
Craig Dawson,57,2,48.0,1.0
Cédric Soares,3,2,48.0,0.0
César Azpilicueta,8,2,58.0,7.0
Daniel Amartey,13,3,43.0,0.0
Daniel Drinkwater,7,3,44.0,1.0
Daniel James,1,3,60.0,2.0
Danny Ings,20,4,70.0,1.0
Danny Rose,4,2,53.0,0.0
Danny Welbeck,57,4,58.0,0.0
Dan Gosling,91,3,49.0,1.0
Darren Randolph,21,1,45.0,0.0
Daryl Janmaat,57,2,41.0,0.0
David de Gea,1,1,54.0,1.0
David Luiz Moreira Marinho,3,2,57.0,-3.0
David Silva,43,3,74.0,0.0
DeAndre Yedlin,4,2,44.0,0.0
Declan Rice,21,3,47.0,2.0
Dejan Lovren,14,2,53.0,0.0
Demarai Gray,13,3,51.0,0.0
Divock Origi,14,4,52.0,5.0
Domingos Quina,57,3,44.0,0.0
Dominic Calvert-Lewin,11,4,60.0,5.0
Dominic Solanke,91,4,52.0,8.0
Eldin Jakupovic,13,1,43.0,0.0
Eric Bailly,1,2,49.0,0.0
Eric Dier,6,3,49.0,1.0
Erik Lamela,6,3,57.0,3.0
Erik Pieters,90,2,43.0,0.0
Etienne Capoue,57,3,48.0,2.0
Fabian Delph,11,3,53.0,1.0
Federico Fernández,4,2,44.0,1.0
Fernando Luiz Rosa,43,3,52.0,2.0
Fraser Forster,20,1,43.0,0.0
Gabriel Fernando de Jesus,43,4,95.0,0.0
Gary Cahill,31,2,44.0,1.0
Georges-Kévin Nkoudou,6,3,50.0,0.0
Georginio Wijnaldum,14,3,54.0,3.0
Gerard Deulofeu,57,3,61.0,5.0
Granit Xhaka,3,3,51.0,2.0
Gylfi Sigurdsson,11,3,73.0,0.0
Harry Kane,6,4,108.0,0.0
Harry Lewis,20,1,40.0,0.0
Harry Maguire,1,2,52.0,1.0
Harry Wilson,91,3,58.0,9.0
Harry Winks,6,3,52.0,1.0
Henrikh Mkhitaryan,3,3,68.0,0.0
Heung-Min Son,6,3,99.0,7.0
Heurelho da Silva Gomes,57,1,44.0,0.0
Hugo Lloris,6,1,53.0,2.0
Héctor Bellerín,3,2,54.0,8.0
Idrissa Gueye,11,3,50.0,0.0
Ilkay Gündogan,43,3,52.0,0.0
Isaac Success Ajayi,57,3,48.0,0.0
Jack Cork,90,3,49.0,3.0
Jack Rodwell,49,3,45.0,0.0
Jack Stephens,20,2,44.0,11.0
Jack Wilshere,21,3,47.0,0.0
James Chester,7,2,43.0,0.0
James McArthur,31,3,52.0,2.0
James McCarthy,31,3,43.0,2.0
James Milner,14,3,53.0,0.0
James Tarkowski,90,2,51.0,6.0
James Tomkins,31,2,50.0,0.0
James Ward-Prowse,20,3,58.0,3.0
Jamie Vardy,13,4,100.0,1.0
Jan Vertonghen,6,2,52.0,2.0
Javier Manquillo,4,2,43.0,0.0
Jay Rodriguez,90,3,57.0,6.0
Jeffrey Schlupp,31,2,54.0,0.0
Jeff Hendrick,90,3,54.0,3.0
Jesse Lingard,1,3,63.0,1.0
Joel Matip,14,2,52.0,0.0
Joel Ward,31,2,43.0,1.0
Joe Hart,90,1,42.0,0.0
Johann Berg Gudmundsson,90,3,59.0,0.0
John Stones,43,2,53.0,0.0
Jonny Evans,13,2,53.0,2.0
Jordan Ayew,31,4,50.0,2.0
Jordan Henderson,14,3,54.0,3.0
Jordan Pickford,11,1,53.0,1.0
Jordon Ibe,91,3,46.0,0.0
Jose Luis Mato Sanmartín,4,4,50.0,0.0
Joseph Gomez,14,2,52.0,6.0
Joshua King,91,3,61.0,0.0
José Holebas,57,2,46.0,0.0
Juan Mata,1,3,62.0,2.0
Junior Stanislas,91,3,59.0,0.0
Kasper Schmeichel,13,1,54.0,1.0
Kelechi Iheanacho,13,4,57.0,7.0
Kevin De Bruyne,43,3,107.0,7.0
Kevin Long,90,2,43.0,0.0
Kieran Trippier,6,2,55.0,0.0
Kurt Zouma,8,2,47.0,0.0
Kyle Walker,43,2,57.0,6.0
Laurent Koscielny,3,2,50.0,0.0
Lee Grant,1,1,48.0,0.0
Leighton Baines,11,2,49.0,0.0
Leroy Sané,43,3,93.0,0.0
Lewis Cook,91,3,50.0,1.0
Lukasz Fabianski,21,1,49.0,2.0
Luka Milivojevic,31,3,67.0,0.0
Luke Dreher,31,3,43.0,0.0
Luke Shaw,1,2,54.0,1.0
Lys Mousset,49,4,47.0,1.0
Maarten Stekelenburg,11,1,40.0,0.0
Mamadou Sakho,31,2,50.0,0.0
Manuel Lanzini,21,3,62.0,2.0
Marcos Alonso,8,2,60.0,0.0
Marcos Rojo,1,2,48.0,0.0
Marcus Rashford,1,4,90.0,0.0
Marc Albrighton,13,3,51.0,0.0
Marko Arnautovic,21,3,70.0,0.0
Mark Noble,21,3,50.0,1.0
Martin Kelly,31,2,44.0,1.0
Mason Holgate,11,2,45.0,1.0
Matej Vydra,90,4,53.0,0.0
Matteo Darmian,1,2,49.0,0.0
Matthew Lowton,90,2,42.0,6.0
Matt Targett,7,2,44.0,6.0
Maya Yoshida,20,2,42.0,0.0
Mesut Özil,3,3,72.0,1.0
Michael Keane,11,2,53.0,0.0
Michail Antonio,21,3,69.0,0.0
Michel Vorm,6,1,43.0,0.0
Michy Batshuayi,8,4,66.0,1.0
Mohamed Elneny,3,3,43.0,0.0
Morgan Schneiderlin,11,3,44.0,2.0
Moussa Sissoko,6,3,49.0,0.0
Muhamed Bešić,49,3,44.0,1.0
N'Golo Kanté,8,3,50.0,2.0
Nacho Monreal,3,2,50.0,0.0
Nampalys Mendy,13,3,43.0,1.0
Nathaniel Chalobah,57,3,44.0,2.0
Nathan Aké,91,2,48.0,2.0
Nathan Holland,21,3,45.0,0.0
Nathan Redmond,20,3,62.0,13.0
Neil Taylor,7,2,43.0,0.0
Nemanja Matic,1,3,48.0,2.0
Nick Pope,90,1,46.0,10.0
Nicolás Otamendi,43,2,50.0,9.0
Oleksandr Zinchenko,43,3,52.0,6.0
Oliver McBurnie,49,4,57.0,1.0
Olivier Giroud,8,4,66.0,0.0
Oriol Romeu Vidal,20,3,43.0,2.0
Oumar Niasse,11,4,45.0,1.0
Pablo Zabaleta,21,2,42.0,0.0
Patrick van Aanholt,31,2,55.0,0.0
Paulo Gazzaniga,6,1,46.0,0.0
Paul Pogba,1,3,83.0,0.0
Pedro Obiang,21,3,45.0,0.0
Pedro Rodríguez Ledesma,8,3,68.0,0.0
Phil Bardsley,90,2,43.0,0.0
Phil Jagielka,49,2,42.0,0.0
Phil Jones,1,2,48.0,1.0
Pierre-Emile Højbjerg,20,3,48.0,3.0
Raheem Sterling,43,3,117.0,3.0
Rhian Brewster,14,4,42.0,0.0
Riyad Mahrez,43,3,85.0,3.0
Robbie Brady,90,3,55.0,0.0
Robert Kenedy Nunes do Nascimento,8,3,53.0,0.0
Roberto Firmino,14,3,95.0,2.0
Roberto Pereyra,57,3,56.0,2.0
Robert Snodgrass,21,3,52.0,2.0
Rob Holding,3,2,45.0,1.0
Romelu Lukaku,1,4,85.0,0.0
Ross Barkley,8,3,56.0,1.0
Ruben Loftus-Cheek,8,3,63.0,0.0
Ryan Bertrand,20,2,48.0,6.0
Ryan Fraser,91,3,69.0,2.0
Sadio Mané,14,3,124.0,0.0
Sam Byram,45,2,44.0,1.0
Sam Surridge,91,4,43.0,0.0
Scott Dann,31,2,43.0,0.0
Scott McTominay,1,3,49.0,0.0
Seamus Coleman,11,2,53.0,0.0
Sebastian Prödl,57,2,39.0,0.0
Sergio Agüero,43,4,119.0,4.0
Sergio Romero,1,1,47.0,0.0
Shane Long,20,4,46.0,2.0
Shkodran Mustafi,3,2,51.0,5.0
Simon Francis,91,2,44.0,2.0
Simon Mignolet,14,1,45.0,0.0
Sofiane Boufal,20,3,55.0,0.0
Steven Defour,90,3,55.0,0.0
Steve Cook,91,2,50.0,0.0
Sung-yueng Ki,4,3,47.0,0.0
Theo Walcott,11,3,62.0,3.0
Toby Alderweireld,6,2,53.0,2.0
Tom Cleverley,57,3,48.0,0.0
Tom Davies,11,3,53.0,1.0
Tom Heaton,7,1,44.0,0.0
Trent Alexander-Arnold,14,3,76.0,7.0
Troy Deeney,57,4,62.0,9.0
Tyrone Mings,7,2,45.0,9.0
Victor Wanyama,6,3,48.0,0.0
Vincent Janssen,6,4,45.0,0.0
Virgil van Dijk,14,2,64.0,6.0
Wayne Hennessey,31,1,43.0,0.0
Wes Morgan,13,2,41.0,1.0
Wilfred Ndidi,13,3,50.0,1.0
Wilfried Zaha,31,3,68.0,2.0
Willian Borges Da Silva,8,3,72.0,2.0
Willy Caballero,8,1,48.0,0.0
Winston Reid,21,2,39.0,0.0
Xherdan Shaqiri,14,3,63.0,0.0
Aaron Mooy,36,3,48.0,10.0
Alexandre Lacazette,3,4,93.0,2.0
Alfie Whiteman,6,1,40.0,0.0
Andreas Christensen,8,2,49.0,0.0
Anthony Knockaert,36,3,54.0,0.0
Antonio Rüdiger,8,2,60.0,1.0
Aymeric Laporte,43,2,63.0,6.0
Ayoze Pérez,13,4,61.0,15.0
Beni Baningime,11,3,45.0,0.0
Benjamin Mendy,43,2,55.0,0.0
Ben Johnson,21,3,39.0,0.0
Beram Kayal,36,3,43.0,0.0
Bernardo Mota Veiga de Carvalho e Silva,43,3,78.0,1.0
Callum Hudson-Odoi,8,3,53.0,5.0
Cenk Tosun,31,4,57.0,2.0
Charlie Taylor,90,2,42.0,5.0
Christian Atsu,4,3,53.0,2.0
Chris Wood,90,4,62.0,12.0
Ciaran Clark,4,2,43.0,0.0
Curtis Jones,14,3,45.0,1.0
Dale Stephens,36,3,44.0,2.0
Danilo Luiz da Silva,43,2,50.0,0.0
Danny Ward,13,1,43.0,0.0
Davide Zappacosta,8,2,43.0,0.0
Davinson Sánchez,6,2,53.0,0.0
Davy Pröpper,36,3,48.0,2.0
Dwight Gayle,4,4,50.0,0.0
Dwight McNeil,90,4,60.0,3.0
Ederson Santana de Moraes,43,1,60.0,6.0
Edward Nketiah,3,4,43.0,0.0
Emerson Palmieri dos Santos,8,2,55.0,0.0
Ethan Ampadu,8,3,44.0,0.0
Ezequiel Schelotto,36,2,40.0,0.0
Fikayo Tomori,8,2,45.0,0.0
Florian Lejeune,4,2,44.0,14.0
Francisco Femenía Far,57,2,42.0,0.0
Gaëtan Bong,36,2,43.0,0.0
Glenn Murray,36,4,54.0,0.0
Grady Diangana,21,3,44.0,0.0
Grant Hanley,45,2,40.0,1.0
Hamza Choudhury,13,3,43.0,0.0
Harvey Barnes,13,3,59.0,12.0
Isaac Hayden,4,3,43.0,5.0
Jack Colback,4,3,44.0,0.0
Jack Simpson,91,2,40.0,0.0
Jacob Murphy,4,3,48.0,0.0
Jairo Riedewald,31,2,45.0,2.0
Jamaal Lascelles,4,2,42.0,1.0
James Daly,31,4,45.0,0.0
Jan Bednarek,20,2,44.0,0.0
Javier Hernández Balcázar,21,4,60.0,0.0
Jonas Lössl,11,1,43.0,0.0
Jonjo Shelvey,4,3,50.0,0.0
Joseph Willock,3,3,48.0,1.0
José Heriberto Izquierdo Mena,36,3,54.0,0.0
Juan Foyth,6,2,49.0,0.0
Jürgen Locadia,36,4,52.0,0.0
Karl Darlow,4,1,43.0,0.0
Konstantinos Mavropanos,3,2,44.0,0.0
Kyle Walker-Peters,20,2,44.0,0.0
Lewis Dunk,36,2,48.0,1.0
Lucas Rodrigues Moura da Silva,6,3,71.0,2.0
Mario Lemina,20,3,47.0,0.0
Martin Dubravka,4,1,50.0,3.0
Mathew Ryan,36,1,49.0,1.0
Matty James,13,3,43.0,0.0
Matt Ritchie,4,3,53.0,1.0
Michael Obafemi,20,4,49.0,2.0
Mohamed Salah,14,3,124.0,14.0
Nya Kirby,31,3,45.0,0.0
Oliver Norwood,49,3,49.0,1.0
Pascal Groß,36,3,63.0,-1.0
Paul Dummett,4,2,44.0,0.0
Philip Billing,91,3,50.0,2.0
Phil Foden,43,3,51.0,0.0
Pierre-Emerick Aubameyang,3,4,107.0,0.0
Rafael Camacho,14,3,45.0,0.0
Reiss Nelson,3,3,53.0,0.0
Richarlison de Andrade,11,3,81.0,0.0
Robert Elliot,4,1,40.0,0.0
Rolando Aarons,4,3,48.0,0.0
Sead Kolasinac,3,2,52.0,0.0
Serge Aurier,6,2,50.0,6.0
Shane Duffy,36,2,48.0,0.0
Solomon March,36,3,46.0,1.0
Tammy Abraham,8,4,78.0,5.0
Tim Krul,45,1,45.0,1.0
Victor Lindelöf,1,2,53.0,0.0
Wesley Hoedt,20,2,43.0,0.0
Will Hughes,57,3,53.0,0.0
Abd-Al-Ali Morakinyo Olaposi Koiki,90,2,40.0,0.0
Adam Masina,57,2,43.0,1.0
Addji Keaninkin Marc-Israel Guehi,8,2,40.0,0.0
Alexandre Nascimento Costa Silva,21,4,43.0,0.0
Alireza Jahanbakhsh,36,3,58.0,1.0
Alisson Ramses Becker,14,1,61.0,7.0
Andriy Yarmolenko,21,3,53.0,0.0
André Filipe Tavares Gomes,11,3,52.0,0.0
Anthony Driscoll-Glennon,90,2,40.0,0.0
Bernardo Fernandes da Silva Junior,36,2,43.0,-1.0
Bernard Anício Caldeira Duarte,11,3,64.0,6.0
Bernd Leno,3,1,50.0,3.0
Bukayo Saka,3,3,45.0,2.0
Callum Slattery,20,3,44.0,0.0
Carlos Sánchez,21,3,43.0,0.0
Chris Mepham,91,2,43.0,0.0
Conor Coady,39,2,50.0,1.0
Dan Burn,36,2,45.0,0.0
David Brooks,91,3,63.0,0.0
David Button,36,1,39.0,0.0
Diego Rico,91,2,43.0,5.0
Diogo Jota,39,3,61.0,1.0
Emile Smith-Rowe,3,3,43.0,0.0
Emiliano Martínez,3,1,43.0,0.0
Fabian Schär,4,2,50.0,4.0
Fabio Henrique Tavares,14,3,54.0,1.0
Fabián Balbuena,21,2,43.0,0.0
Felipe Anderson Pereira Gomes,21,3,66.0,0.0
Filip Benkovic,13,2,40.0,0.0
Florin Andone,36,4,47.0,0.0
Frederick Woodman,4,1,40.0,0.0
Frederico Rodrigues de Paula Santos,1,3,53.0,2.0
Harvey Elliott,14,3,45.0,0.0
Hélder Costa,39,3,49.0,0.0
Issa Diop,21,2,44.0,0.0
Ivan Cavaleiro,39,3,49.0,0.0
James Garner,1,3,43.0,0.0
James Maddison,13,3,77.0,2.0
Jannik Vestergaard,20,2,46.0,6.0
Jefferson Lerma,91,3,48.0,1.0
John Ruddy,39,1,43.0,0.0
Jonathan Castro Otto,39,2,54.0,1.0
Jorge Luiz Frello Filho,8,3,49.0,10.0
José Diogo Dalot Teixeira,1,2,49.0,0.0
João Filipe Iria Santos Moutinho,39,3,54.0,2.0
Kayne Ramsay,20,2,39.0,0.0
Kelland Watts,4,3,40.0,0.0
Ken Sema,57,3,48.0,0.0
Kepa Arrizabalaga,8,1,55.0,1.0
Kortney Hause,7,2,44.0,2.0
Leander Dendoncker,39,3,44.0,2.0
Leon Balogun,36,2,44.0,0.0
Lucas Digne,11,2,58.0,6.0
Lucas Torreira,3,3,47.0,5.0
Luke Amos,6,3,45.0,0.0
Marc Navarro,57,2,39.0,0.0
Mark Travers,91,1,42.0,0.0
Martín Montoya,36,2,44.0,0.0
Mason Greenwood,1,4,44.0,1.0
Mateo Kovacic,8,3,53.0,2.0
Matteo Guendouzi,3,3,43.0,0.0
Matt Doherty,39,2,61.0,1.0
Max Kilman,39,2,40.0,0.0
Max Meyer,31,3,52.0,1.0
Miguel Almirón,4,3,58.0,2.0
Mohamed Elyounoussi,20,3,53.0,0.0
Morgan Gibbs-White,39,3,47.0,1.0
Naby Keita,14,3,58.0,1.0
Oliver Skipp,6,3,43.0,0.0
Pontus Dahlberg,57,1,43.0,0.0
Rachid Ghezzal,13,3,52.0,0.0
Raúl Jiménez,39,4,75.0,8.0
Ricardo Domingos Barbosa Pereira,13,2,63.0,12.0
Romain Saïss,39,2,44.0,1.0
Rui Pedro dos Santos Patrício,39,1,51.0,2.0
Ryan Bennett,13,2,49.0,0.0
Ryan Fredericks,21,2,44.0,0.0
Ryan Sessegnon,6,3,54.0,2.0
Rúben Diogo da Silva Neves,39,3,52.0,2.0
Rúben Gonçalo Silva Nascimento Vinagre,39,2,42.0,0.0
Sam Gallagher,20,4,45.0,0.0
Sam Woods,31,2,40.0,0.0
Sean Longstaff,4,3,50.0,2.0
Sokratis Papastathopoulos,3,2,49.0,0.0
Stuart Armstrong,20,3,52.0,9.0
Tahith Chong,1,3,43.0,0.0
Tyreke Johnson,20,3,44.0,0.0
Vicente Guaita,31,1,51.0,2.0
Víctor Camarasa,31,3,45.0,0.0
Willy Boly,39,2,47.0,0.0
Will Norris,39,1,40.0,0.0
Yan Valery,20,2,46.0,0.0
Yerry Mina,11,2,53.0,1.0
Yoshinori Muto,4,4,51.0,0.0
Youri Tielemans,13,3,62.0,2.0
Yves Bissouma,36,3,50.0,0.0
Çaglar Söyüncü,13,2,51.0,2.0
Aaron Connolly,36,4,44.0,1.0
Adam Idah,45,4,44.0,0.0
Adam Webster,36,2,44.0,1.0
Akin Famewo,45,2,40.0,0.0
Albian Ajeti,21,4,57.0,0.0
Alexander Tettey,45,3,45.0,2.0
Allan Saint-Maximin,4,3,54.0,0.0
Andre Green,7,3,49.0,0.0
Andy Lonergan,14,1,42.0,0.0
Anthony Gordon,11,4,45.0,0.0
Anwar El Ghazi,7,3,55.0,2.0
Archie Mair,45,1,40.0,0.0
Arnaut Danjuma Groeneveld,91,3,58.0,0.0
Ayotomiwa Dele-Bashiru,57,3,45.0,0.0
Bailey Peacock-Farrell,90,1,44.0,0.0
Ben Godfrey,45,2,44.0,0.0
Ben Osborn,49,3,47.0,0.0
Bernardo Costa Da Rosa,21,3,45.0,0.0
Bernard Ashley-Seal,39,4,45.0,0.0
Billy Gilmour,8,3,45.0,0.0
Billy Sharp,49,4,56.0,1.0
Birkir Bjarnason,7,3,45.0,0.0
Bjorn Engels,7,2,44.0,0.0
Brandon Austin,6,1,40.0,0.0
Brandon Pierrick,31,3,45.0,0.0
Brandon Williams,1,2,41.0,1.0
Bruno André Cavaco Jordao,39,3,45.0,0.0
Callum Robinson,49,3,50.0,1.0
Caoimhin Kelleher,14,1,44.0,0.0
Che Adams,20,4,53.0,1.0
