name,team,position,value,total_points
Aaron Cresswell,21,2,51.0,0.0
Aaron Lennon,90,3,50.0,2.0
Aaron Ramsey,3,3,73.0,0.0
Aaron Wan-Bissaka,31,3,43.0,6.0
Abdoulaye Doucouré,57,3,59.0,5.0
Adama Traoré,39,3,53.0,0.0
Adam Lallana,14,3,69.0,0.0
Adam Smith,91,2,44.0,0.0
Ademola Lookman,11,3,51.0,1.0
Adrian Mariappa,57,2,42.0,0.0
Adrián San Miguel del Castillo,21,1,43.0,0.0
Ainsley Maitland-Niles,3,3,44.0,1.0
Alberto Moreno,14,2,42.0,0.0
Alexis Sánchez,1,3,100.0,0.0
Alex Iwobi,3,3,55.0,2.0
Alex McCarthy,20,1,45.0,1.0
Alex Oxlade-Chamberlain,14,3,64.0,0.0
Alex Pritchard,38,3,48.0,2.0
Alfie Mawson,54,2,48.0,1.0
Ander Herrera,1,3,50.0,2.0
Andreas Pereira,1,3,45.0,0.0
Andrew Robertson,14,2,65.0,2.0
Andrew Surman,91,3,46.0,2.0
Andre Gray,57,4,60.0,0.0
Andros Townsend,31,3,57.0,6.0
Andy Carroll,21,4,54.0,1.0
Angelo Ogbonna,21,2,42.0,0.0
Angus Gunn,20,1,43.0,0.0
Anthony Martial,1,3,74.0,1.0
Antonio Valencia,1,2,64.0,0.0
Arthur Masuaku,21,2,43.0,3.0
Artur Boruc,91,1,40.0,0.0
Ashley Barnes,90,4,56.0,2.0
Ashley Westwood,90,3,45.0,2.0
Ashley Williams,11,2,45.0,0.0
Ashley Young,1,3,57.0,1.0
Asmir Begovic,91,1,45.0,1.0
Bakary Sako,31,3,50.0,0.0
Bamidele Alli,6,3,89.0,3.0
Benjamin Chilwell,13,2,52.0,0.0
Ben Davies,6,2,56.0,8.0
Ben Foster,57,1,45.0,1.0
Ben Gibson,90,2,48.0,0.0
Ben Hamer,38,1,40.0,0.0
Ben Mee,90,2,47.0,2.0
Callum Wilson,91,4,69.0,1.0
Calum Chambers,54,2,42.0,1.0
Cesc Fàbregas,8,3,63.0,0.0
Charlie Austin,20,4,55.0,6.0
Charlie Daniels,91,2,42.0,1.0
Cheikhou Kouyaté,31,3,47.0,3.0
Christian Benteke,31,4,63.0,0.0
Christian Eriksen,6,3,93.0,7.0
Christian Fuchs,13,2,42.0,2.0
Christian Kabasele,57,2,44.0,1.0
Chris Smalling,1,2,57.0,0.0
Claudio Bravo,43,1,48.0,0.0
Connor Wickham,31,4,49.0,0.0
Craig Cathcart,57,2,45.0,1.0
Cuco Martina,11,2,45.0,0.0
Cédric Soares,20,2,44.0,0.0
César Azpilicueta,8,2,63.0,2.0
Daley Blind,1,2,50.0,0.0
Daniel Amartey,13,3,43.0,0.0
Daniel Drinkwater,8,3,47.0,0.0
Daniel Sturridge,14,4,57.0,0.0
Danny Ings,20,4,54.0,13.0
Danny Rose,6,2,58.0,6.0
Danny Simpson,13,2,42.0,0.0
Danny Welbeck,3,4,65.0,0.0
Dan Gosling,91,3,48.0,0.0
Daryl Janmaat,57,2,49.0,0.0
David Luiz Moreira Marinho,8,2,57.0,2.0
David Silva,43,3,86.0,0.0
DeAndre Yedlin,4,2,45.0,0.0
Declan Rice,21,3,44.0,7.0
Dejan Lovren,14,2,49.0,2.0
Demarai Gray,13,3,54.0,2.0
Divock Origi,14,4,50.0,0.0
Domingos Quina,57,3,44.0,9.0
Dominic Calvert-Lewin,11,4,53.0,5.0
Dominic Solanke,91,4,47.0,0.0
Eden Hazard,8,3,109.0,13.0
Edimilson Fernandes,21,3,45.0,0.0
Eldin Jakupovic,13,1,44.0,0.0
Emerson Hyndman,91,3,45.0,0.0
Eric Bailly,1,2,50.0,1.0
Eric Dier,6,3,48.0,0.0
Erik Lamela,6,3,62.0,3.0
Etienne Capoue,57,3,49.0,0.0
Fabian Delph,43,3,53.0,1.0
Federico Fernández,4,2,44.0,0.0
Fernando Llorente,6,4,56.0,1.0
Fernando Luiz Rosa,43,3,54.0,6.0
Fraser Forster,20,1,43.0,0.0
Gabriel Fernando de Jesus,43,4,101.0,13.0
Gary Cahill,8,2,51.0,0.0
Georges-Kévin Nkoudou,6,3,48.0,0.0
Georginio Wijnaldum,14,3,55.0,2.0
Gerard Deulofeu,57,3,54.0,13.0
Granit Xhaka,3,3,53.0,2.0
Gylfi Sigurdsson,11,3,74.0,2.0
Harry Arter,97,3,49.0,2.0
Harry Kane,6,4,126.0,5.0
Harry Maguire,13,2,54.0,2.0
Harry Winks,6,3,55.0,0.0
Henrikh Mkhitaryan,3,3,67.0,14.0
Heung-Min Son,6,3,85.0,1.0
Heurelho da Silva Gomes,57,1,43.0,0.0
Hugo Lloris,6,1,54.0,6.0
Héctor Bellerín,3,2,55.0,0.0
Idrissa Gueye,11,3,48.0,0.0
Ilkay Gündogan,43,3,54.0,2.0
Isaac Success Ajayi,57,3,46.0,1.0
Jack Cork,90,3,46.0,2.0
Jack Stephens,20,2,43.0,0.0
Jack Wilshere,21,3,48.0,0.0
James McArthur,31,3,47.0,2.0
James McCarthy,11,3,44.0,0.0
James Milner,14,3,56.0,0.0
James Tarkowski,90,2,47.0,2.0
James Tomkins,31,2,43.0,0.0
James Ward-Prowse,20,3,50.0,0.0
Jamie Vardy,13,4,88.0,2.0
Jan Vertonghen,6,2,59.0,0.0
Jason Puncheon,38,3,43.0,1.0
Javier Manquillo,4,2,43.0,12.0
Jeffrey Schlupp,31,2,44.0,1.0
Jeff Hendrick,90,3,53.0,1.0
Jermain Defoe,91,4,56.0,0.0
Jerome Sinclair,57,4,45.0,0.0
Jesse Lingard,1,3,67.0,9.0
Joel Matip,14,2,49.0,0.0
Joel Ward,31,2,43.0,0.0
Joe Hart,90,1,45.0,2.0
Johann Berg Gudmundsson,90,3,58.0,0.0
John Stones,43,2,53.0,0.0
Jonathan Walters,90,3,48.0,0.0
Jonjoe Kenny,11,2,43.0,0.0
Jonny Evans,13,2,48.0,0.0
Jordan Ayew,31,4,57.0,2.0
Jordan Henderson,14,3,53.0,1.0
Jordan Pickford,11,1,50.0,2.0
Jordon Ibe,91,3,50.0,1.0
Jose Luis Mato Sanmartín,4,4,49.0,0.0
Joseph Gomez,14,2,50.0,0.0
Joshua King,91,3,63.0,2.0
Joshua Sims,20,3,45.0,0.0
José Holebas,57,2,47.0,7.0
Juan Mata,1,3,62.0,1.0
Julian Speroni,31,1,40.0,0.0
Junior Stanislas,91,3,60.0,2.0
Kasper Schmeichel,13,1,50.0,2.0
Kelechi Iheanacho,13,4,59.0,1.0
Kevin De Bruyne,43,3,97.0,1.0
Kevin Long,90,2,42.0,2.0
Kevin Mirallas,11,3,55.0,0.0
Kieran Trippier,6,2,61.0,6.0
Kurt Zouma,11,2,50.0,1.0
Kyle Walker,43,2,65.0,2.0
Laurent Koscielny,3,2,54.0,0.0
Lee Grant,1,1,49.0,0.0
Leighton Baines,11,2,51.0,0.0
Leroy Sané,43,3,96.0,10.0
Lewis Cook,91,3,48.0,0.0
Loris Karius,14,1,49.0,0.0
Lucas Pérez,21,4,62.0,0.0
Lukasz Fabianski,21,1,46.0,9.0
Luka Milivojevic,31,3,60.0,11.0
Luke Shaw,1,2,49.0,0.0
Lys Mousset,91,4,49.0,1.0
Maarten Stekelenburg,11,1,40.0,0.0
Mamadou Sakho,31,2,49.0,8.0
Manolo Gabbiadini,20,4,56.0,0.0
Manuel Lanzini,21,3,64.0,0.0
Marcos Alonso,8,2,70.0,1.0
Marcos Rojo,1,2,49.0,0.0
Marcus Rashford,1,4,69.0,2.0
Marc Albrighton,13,3,51.0,2.0
Marc Pugh,91,3,43.0,0.0
Marko Arnautovic,21,3,69.0,0.0
Mark Noble,21,3,49.0,2.0
Marouane Fellaini,1,3,49.0,1.0
Martin Kelly,31,2,39.0,7.0
Mason Holgate,11,2,44.0,0.0
Matej Vydra,90,4,57.0,0.0
Matteo Darmian,1,2,46.0,1.0
Matthew Lowton,90,2,46.0,0.0
Matt Targett,20,2,42.0,4.0
Maya Yoshida,20,2,41.0,1.0
Mesut Özil,3,3,81.0,1.0
Michael Keane,11,2,51.0,1.0
Michail Antonio,21,3,68.0,8.0
Michel Vorm,6,1,48.0,0.0
Miguel Britos,57,2,44.0,0.0
Mohamed Diamé,4,3,49.0,3.0
Mohamed Elneny,3,3,43.0,0.0
Morgan Schneiderlin,11,3,43.0,0.0
Mousa Dembélé,6,3,49.0,0.0
Moussa Sissoko,6,3,49.0,3.0
N'Golo Kanté,8,3,49.0,2.0
Nacho Monreal,3,2,54.0,5.0
Nampalys Mendy,13,3,45.0,2.0
Nathaniel Chalobah,57,3,45.0,0.0
Nathaniel Clyne,91,2,46.0,2.0
Nathan Aké,91,2,50.0,1.0
Nathan Redmond,20,3,52.0,5.0
Nemanja Matic,1,3,50.0,2.0
Nick Pope,90,1,49.0,0.0
Nicolás Otamendi,43,2,61.0,2.0
Oleksandr Zinchenko,43,3,47.0,0.0
Olivier Giroud,8,4,77.0,1.0
Oriol Romeu Vidal,20,3,43.0,2.0
Oumar Niasse,97,4,50.0,0.0
Pablo Zabaleta,21,2,43.0,6.0
Pape Souaré,31,2,42.0,0.0
Patrick van Aanholt,31,2,54.0,6.0
Paulo Gazzaniga,6,1,45.0,0.0
Paul Pogba,1,3,78.0,0.0
Pedro Obiang,21,3,44.0,1.0
Pedro Rodríguez Ledesma,8,3,63.0,9.0
Petr Cech,3,1,49.0,0.0
Phil Bardsley,90,2,42.0,1.0
Phil Jagielka,11,2,43.0,0.0
Phil Jones,1,2,51.0,0.0
Pierre-Emile Højbjerg,20,3,44.0,2.0
Ragnar Klavan,14,2,44.0,0.0
Raheem Sterling,43,3,116.0,6.0
Ramadan Sobhi,38,3,48.0,1.0
Reece Oxford,21,2,43.0,0.0
Riyad Mahrez,43,3,85.0,2.0
Robbie Brady,90,3,54.0,1.0
Robert Kenedy Nunes do Nascimento,4,3,49.0,3.0
Roberto Firmino,14,3,92.0,2.0
Roberto Pereyra,57,3,62.0,2.0
Robert Snodgrass,21,3,53.0,11.0
Rob Holding,3,2,44.0,0.0
Romelu Lukaku,1,4,107.0,1.0
Ross Barkley,8,3,56.0,1.0
Ruben Loftus-Cheek,8,3,52.0,1.0
Ryan Bertrand,20,2,48.0,0.0
Ryan Fraser,91,3,63.0,2.0
Sadio Mané,14,3,97.0,9.0
Salomón Rondón,4,4,58.0,7.0
Sam Byram,21,2,45.0,0.0
Sam McQueen,20,3,40.0,0.0
Sam Vokes,90,4,53.0,1.0
Scott Dann,31,2,44.0,0.0
Scott McTominay,1,3,43.0,0.0
Seamus Coleman,11,2,52.0,0.0
Sebastian Prödl,57,2,42.0,0.0
Sergio Agüero,43,4,112.0,0.0
Sergio Romero,1,1,50.0,0.0
Shane Long,20,4,47.0,3.0
Shinji Okazaki,13,4,52.0,1.0
Shkodran Mustafi,3,2,54.0,0.0
Simon Francis,91,2,44.0,0.0
Simon Mignolet,14,1,48.0,0.0
Sofiane Boufal,20,3,55.0,0.0
Stefano Okaka,57,4,50.0,1.0
Stephen Ward,90,2,47.0,0.0
Steven Davis,20,3,46.0,0.0
Steven Defour,90,3,54.0,0.0
Steve Cook,91,2,46.0,0.0
Sullay Kaikai,31,3,43.0,0.0
Sung-yueng Ki,4,3,47.0,3.0
Theo Walcott,11,3,62.0,1.0
Thibaut Courtois,8,1,55.0,0.0
Timothy Fosu-Mensah,54,2,45.0,0.0
Toby Alderweireld,6,2,59.0,9.0
Tom Cleverley,57,3,50.0,1.0
Tom Davies,11,3,52.0,1.0
Tom Heaton,90,1,48.0,0.0
Trent Alexander-Arnold,14,3,53.0,0.0
Troy Deeney,57,4,58.0,2.0
Tyias Browning,11,2,40.0,0.0
Tyrone Mings,91,2,43.0,1.0
Victor Moses,8,3,56.0,0.0
Victor Wanyama,6,3,49.0,0.0
Vincent Kompany,43,2,52.0,0.0
Virgil van Dijk,14,2,62.0,2.0
Wayne Hennessey,31,1,45.0,0.0
Wes Morgan,13,2,45.0,2.0
Wilfred Ndidi,13,3,49.0,2.0
Wilfried Zaha,31,3,67.0,0.0
Willian Borges Da Silva,8,3,73.0,5.0
Willy Caballero,8,1,47.0,0.0
Winston Reid,21,2,44.0,0.0
Xherdan Shaqiri,14,3,71.0,14.0
Yannick Bolasie,11,3,58.0,0.0
Yohan Benalouane,13,2,39.0,0.0
Younes Kaboul,57,2,42.0,0.0
Aaron Mooy,38,3,51.0,0.0
Abdelhamid Sabiri,38,3,43.0,0.0
Adrien Sebastian Perruchet Silva,13,3,48.0,0.0
Aleksandar Mitrovic,54,4,68.0,2.0
Alexander Sørloth,31,4,48.0,1.0
Alexandre Lacazette,3,4,96.0,4.0
Alfie Whiteman,6,1,40.0,0.0
Anders Lindegaard,90,1,44.0,0.0
Andreas Christensen,8,2,50.0,0.0
Anthony Knockaert,36,3,55.0,2.0
Antonio Rüdiger,8,2,60.0,2.0
Aymeric Laporte,43,2,61.0,2.0
Ayoze Pérez,4,4,61.0,2.0
Beni Baningime,11,3,43.0,0.0
Benjamin Mendy,43,2,62.0,0.0
Beram Kayal,36,3,44.0,0.0
Bernardo Mota Veiga de Carvalho e Silva,43,3,75.0,2.0
Brahim Diaz,43,3,47.0,0.0
Bruno Saltor Grau,36,2,44.0,0.0
Callum Hudson-Odoi,8,3,42.0,0.0
Cenk Tosun,11,4,65.0,0.0
Chancel Mbemba,4,2,40.0,0.0
Charlie Taylor,90,2,44.0,2.0
Christian Atsu,4,3,51.0,3.0
Christopher Schindler,38,2,44.0,2.0
Chris Löwe,38,2,44.0,1.0
Chris Wood,90,4,62.0,1.0
Ciaran Clark,4,2,45.0,6.0
Collin Quaner,38,4,43.0,0.0
Dale Stephens,36,3,44.0,2.0
Danilo Luiz da Silva,43,2,51.0,0.0
Danny Ward,13,1,43.0,0.0
Danny Williams,38,3,45.0,0.0
Davide Zappacosta,8,2,51.0,0.0
Davinson Sánchez,6,2,58.0,0.0
Davy Klaassen,11,3,60.0,0.0
Davy Pröpper,36,3,48.0,2.0
Dwight Gayle,4,4,60.0,0.0
Dwight McNeil,90,4,44.0,0.0
Ederson Santana de Moraes,43,1,58.0,2.0
Edward Nketiah,3,4,50.0,0.0
Elias Kachunga,38,3,48.0,0.0
Emerson Palmieri dos Santos,8,2,52.0,0.0
Ethan Ampadu,8,3,44.0,0.0
Ezequiel Schelotto,36,2,38.0,0.0
Florent Hadergjonaj,38,2,44.0,2.0
Florian Lejeune,4,2,44.0,0.0
Fousseni Diabaté,13,4,46.0,0.0
Francisco Femenía Far,57,2,42.0,1.0
Gaëtan Bong,36,2,45.0,0.0
Glenn Murray,36,4,66.0,1.0
Grady Diangana,21,3,45.0,1.0
Guido Carrillo,20,4,55.0,0.0
Hamza Choudhury,13,3,43.0,0.0
Isaac Hayden,4,3,43.0,1.0
Jack Simpson,91,2,39.0,0.0
Jacob Murphy,4,3,48.0,0.0
Jairo Riedewald,31,2,44.0,0.0
Jamaal Lascelles,4,2,47.0,5.0
Jan Bednarek,20,2,39.0,0.0
Jaroslaw Jach,31,2,40.0,0.0
Javier Hernández Balcázar,21,4,64.0,5.0
Jon Gorenc Stankovic,38,2,39.0,0.0
Jonas Lössl,38,1,44.0,3.0
Jonathan Hogg,38,3,44.0,1.0
Jonjo Shelvey,4,3,53.0,0.0
Jordan Hugill,21,4,50.0,0.0
José Heriberto Izquierdo Mena,36,3,59.0,0.0
Juan Foyth,6,2,50.0,0.0
Jürgen Locadia,36,4,53.0,1.0
Karl Darlow,4,1,44.0,0.0
Konstantinos Mavropanos,3,2,47.0,0.0
Kyle Walker-Peters,6,2,42.0,0.0
Laurent Depoitre,38,4,51.0,2.0
Lewis Dunk,36,2,45.0,0.0
Lucas Rodrigues Moura da Silva,6,3,70.0,3.0
Mario Lemina,20,3,48.0,0.0
Markus Suttner,36,2,38.0,0.0
Martin Dubravka,4,1,50.0,9.0
Marvin Zeegelaar,57,2,42.0,0.0
Mathew Ryan,36,1,46.0,1.0
Mathias Jorgensen,38,2,44.0,2.0
Matty James,13,3,44.0,0.0
Matt Ritchie,4,3,58.0,1.0
Michael Obafemi,20,4,50.0,0.0
Mikel Merino,4,3,50.0,0.0
Mohamed Salah,14,3,130.0,2.0
Nahki Wells,90,4,45.0,0.0
Nikola Vlasic,11,3,50.0,0.0
Pascal Groß,36,3,67.0,2.0
Paul Dummett,4,2,44.0,1.0
Philip Billing,38,3,45.0,2.0
Phil Foden,43,3,46.0,0.0
Pierre-Emerick Aubameyang,3,4,115.0,2.0
Rafael Camacho,14,3,50.0,0.0
Rajiv van La Parra,38,3,47.0,0.0
Reiss Nelson,3,3,44.0,0.0
Richarlison de Andrade,11,3,71.0,2.0
Robert Elliot,4,1,43.0,0.0
Sam Baldock,36,4,45.0,0.0
Sandro Ramírez,11,4,54.0,0.0
Scott Malone,38,2,40.0,0.0
Sead Kolasinac,3,2,51.0,0.0
Serge Aurier,6,2,58.0,0.0
Shane Duffy,36,2,46.0,0.0
Solomon March,36,3,50.0,8.0
Steve Mounie,38,4,58.0,0.0
Tammy Abraham,8,4,54.0,0.0
Terence Kongolo,38,2,43.0,1.0
Tiemoué Bakayoko,8,3,49.0,0.0
Tomer Hemed,36,4,49.0,0.0
Tommy Smith,38,2,44.0,0.0
Tom Ince,38,3,50.0,0.0
Vicente Iborra,13,3,47.0,0.0
Victor Lindelöf,1,2,48.0,1.0
Wesley Hoedt,20,2,43.0,0.0
Will Hughes,57,3,50.0,0.0
Álvaro Morata,8,4,86.0,0.0
Aboubakar Kamara,54,4,44.0,2.0
Adalberto Peñaranda,57,4,50.0,0.0
Adama Diakhaby,38,3,46.0,0.0
Adam Masina,57,2,43.0,0.0
Alexandre Nascimento Costa Silva,21,4,45.0,0.0
Alex Smithies,97,1,43.0,0.0
Alireza Jahanbakhsh,36,3,67.0,0.0
Alisson Ramses Becker,14,1,57.0,2.0
Andriy Yarmolenko,21,3,68.0,0.0
André Filipe Tavares Gomes,11,3,54.0,2.0
André-Frank Zambo Anguissa,54,3,44.0,0.0
André Schürrle,54,3,58.0,2.0
Anthony Pilkington,97,3,44.0,0.0
Arijanet Muric,43,1,45.0,0.0
Aron Gunnarsson,97,3,44.0,2.0
Ashley Darel Jazz Richards,97,2,39.0,0.0
Barry Douglas,39,2,50.0,0.0
Ben White,36,2,40.0,0.0
Ben Wilmot,57,2,40.0,0.0
Bernardo Fernandes da Silva Junior,36,2,42.0,4.0
Bernard Anício Caldeira Duarte,11,3,59.0,1.0
Bernd Leno,3,1,48.0,2.0
Bobby Reid,97,4,52.0,6.0
Bonatini Lohner Maia Bonatini,39,4,47.0,0.0
Brian Murphy,97,1,40.0,0.0
Bright Enobakhare,39,3,43.0,0.0
Bruno Ecuele Manga,97,2,44.0,1.0
Callum Paterson,97,3,53.0,2.0
Carlos Sánchez,21,3,44.0,0.0
Conor Coady,39,2,45.0,9.0
Conor Coventry,21,3,45.0,0.0
Cyrus Christie,54,2,42.0,1.0
Danny Batth,39,2,40.0,0.0
David Junior Hoilett,97,3,50.0,7.0
David Brooks,91,3,51.0,0.0
David Button,36,1,40.0,0.0
David De Gea,,1,57.0,3.0
Denis Odoi,54,2,44.0,1.0
Diego Rico,91,2,42.0,1.0
Diogo Jota,39,3,59.0,4.0
Emile Smith-Rowe,3,3,45.0,0.0
Emiliano Martínez,3,1,40.0,0.0
Erik Durm,38,2,44.0,1.0
Fabian Schär,4,2,46.0,6.0
Fabio Henrique Tavares,14,3,55.0,5.0
Fabián Balbuena,21,2,44.0,6.0
Fabricio Agosto Ramírez,54,1,43.0,0.0
Felipe Anderson Pereira Gomes,21,3,73.0,6.0
Filip Benkovic,13,2,50.0,0.0
Florin Andone,36,4,50.0,0.0
Floyd Ayité,54,3,43.0,0.0
Frederick Woodman,4,1,40.0,0.0
Frederico Rodrigues de Paula Santos,1,3,55.0,0.0
Gary Madine,97,4,44.0,0.0
Greg Cunninghamm,97,2,42.0,0.0
Greg Halford,97,2,40.0,0.0
Hélder Costa,39,3,48.0,3.0
Ibrahima Cissé,54,3,44.0,0.0
Isaac Mbenza,38,3,59.0,1.0
Issa Diop,21,2,43.0,7.0
Ivan Cavaleiro,39,3,52.0,6.0
James Maddison,13,3,68.0,1.0
Jamie Sterry,4,2,40.0,0.0
Jannik Vestergaard,20,2,46.0,1.0
Jason Steele,36,1,40.0,0.0
Jean Michael Seri,54,3,52.0,1.0
Jefferson Lerma,91,3,45.0,1.0
Joe Bennett,97,2,45.0,0.0
Joe Bryan,54,2,48.0,1.0
Joe Powell,21,3,45.0,0.0
Joe Ralls,97,3,47.0,0.0
John Ruddy,39,1,43.0,0.0
Jonathan Castro Otto,39,2,43.0,7.0
Jorge Luiz Frello Filho,8,3,48.0,2.0
Josh Knight,13,2,40.0,0.0
Josh Murphy,97,3,48.0,1.0
José Diogo Dalot Teixeira,1,2,53.0,0.0
João Filipe Iria Santos Moutinho,39,3,53.0,3.0
Juninho Bacuna,38,3,43.0,2.0
Kadeem Harris,97,3,45.0,0.0
Kenneth Zohore,97,4,46.0,0.0
Ken Sema,57,3,46.0,6.0
Kepa Arrizabalaga,8,1,56.0,1.0
Kevin McDonald,54,3,43.0,0.0
