name,team,position,value,total_points
Aaron Cresswell,21,2,49.0,0.0
Aaron Lennon,90,3,54.0,2.0
Aaron Ramsey,3,3,68.0,12.0
Aaron Wan-Bissaka,31,3,45.0,0.0
Abdoulaye Doucouré,57,3,53.0,2.0
Adam Lallana,14,3,73.0,0.0
Ademola Lookman,11,3,51.0,0.0
Adrian Mariappa,57,2,42.0,5.0
Adrián San Miguel del Castillo,21,1,41.0,0.0
Aiden O'Neill,90,3,45.0,0.0
Ainsley Maitland-Niles,3,3,45.0,0.0
Alberto Moreno,14,2,43.0,0.0
Aleksandar Kolarov,43,2,55.0,0.0
Alex Iwobi,3,3,51.0,2.0
Alex Oxlade-Chamberlain,14,3,56.0,4.0
Alex Palmer,35,1,40.0,0.0
Alfie Mawson,80,2,51.0,0.0
Allan-Roméo Nyom,35,2,47.0,1.0
Andrew Robertson,14,2,51.0,0.0
Andre Gray,57,4,63.0,1.0
Andros Townsend,31,3,56.0,3.0
André Ayew,80,3,68.0,2.0
Andy Carroll,21,4,57.0,1.0
Andy King,80,3,42.0,2.0
Angelo Ogbonna,21,2,42.0,0.0
Angel Rangel,80,2,39.0,0.0
Arthur Masuaku,21,2,42.0,1.0
Ashley Barnes,90,4,54.0,7.0
Ashley Fletcher,21,4,45.0,0.0
Ashley Westwood,90,3,43.0,2.0
Ashley Williams,11,2,52.0,0.0
Bakary Sako,31,3,48.0,0.0
Ben Foster,35,1,43.0,1.0
Ben Mee,90,2,49.0,0.0
Ben Watson,57,3,43.0,0.0
Ben Woodburn,14,3,42.0,0.0
Boaz Myhill,35,1,40.0,0.0
Bojan Krkic Perez,110,3,55.0,0.0
Brandon Mason,57,2,39.0,0.0
Bruno Martins Indi,110,2,49.0,2.0
Calum Chambers,3,2,47.0,1.0
Carl Jenkinson,3,2,45.0,0.0
Carl Stewart,57,3,45.0,0.0
Charlie Adam,110,3,47.0,0.0
Cheikhou Kouyaté,21,3,50.0,2.0
Christian Benteke,31,4,75.0,1.0
Christian Kabasele,57,2,44.0,7.0
Chris Brunt,35,2,50.0,5.0
Chung-yong Lee,31,3,42.0,0.0
Claudio Bravo,43,1,45.0,0.0
Claudio Yacob,35,3,43.0,0.0
Connor Roberts,80,2,40.0,0.0
Connor Wickham,31,4,54.0,0.0
Costel Pantilimon,57,1,45.0,0.0
Craig Cathcart,57,2,44.0,5.0
Craig Dawson,35,2,48.0,4.0
Cuco Martina,11,2,43.0,0.0
Damian Emiliano Martinez,3,1,40.0,0.0
Damien Delaney,31,2,42.0,0.0
Daniel Sturridge,35,4,79.0,0.0
Danny Ings,14,4,54.0,6.0
Danny Welbeck,3,4,73.0,2.0
Darren Fletcher,110,3,47.0,0.0
Darren Randolph,21,1,45.0,0.0
Daryl Janmaat,57,2,48.0,0.0
David Ospina,3,1,48.0,3.0
David Silva,43,3,82.0,10.0
DeAndre Yedlin,4,2,44.0,2.0
Dean Marney,90,3,44.0,0.0
Declan Rice,21,3,44.0,0.0
Dejan Lovren,14,2,53.0,1.0
Diafra Sakho,21,4,55.0,0.0
Didier Ndong,57,3,45.0,0.0
Divock Origi,14,4,74.0,0.0
Domingos Quina,21,3,44.0,0.0
Dominic Calvert-Lewin,11,4,50.0,1.0
Dominic Solanke,14,4,46.0,0.0
Edimilson Fernandes,21,3,43.0,1.0
Eliaquim Mangala,11,2,50.0,0.0
Emre Can,14,3,49.0,0.0
Enner Valencia,21,4,50.0,0.0
Erik Pieters,110,2,47.0,1.0
Etienne Capoue,57,3,48.0,3.0
Fabian Delph,43,3,45.0,6.0
Federico Fernández,80,2,45.0,0.0
Fernando Francisco Reges,43,3,45.0,0.0
Fernando Luiz Rosa,43,3,50.0,0.0
Francis Coquelin,3,3,43.0,0.0
Fredrik Ulvestad,90,3,44.0,0.0
Gabriel Armando de Abreu,3,2,50.0,0.0
Gabriel Fernando de Jesus,43,4,102.0,7.0
Gareth Barry,35,3,44.0,0.0
Gareth McAuley,35,2,45.0,0.0
Geoff Cameron,110,2,43.0,0.0
Georges-Kévin Nkoudou,90,3,54.0,0.0
Georginio Wijnaldum,14,3,66.0,6.0
Gerard Deulofeu,57,3,55.0,0.0
Giannelli Imbula,110,3,45.0,0.0
Glenn Whelan,110,3,45.0,0.0
Glen Johnson,110,2,41.0,1.0
Gnegneri Yaya Touré,43,3,60.0,4.0
Granit Xhaka,3,3,51.0,5.0
Gylfi Sigurdsson,11,3,80.0,0.0
Hal Robson-Kanu,35,4,49.0,1.0
Henrikh Mkhitaryan,3,3,77.0,0.0
Heurelho da Silva Gomes,57,1,45.0,0.0
Héctor Bellerín,3,2,59.0,2.0
Ibrahim Afellay,110,3,48.0,0.0
Idrissa Gueye,11,3,48.0,2.0
Ilkay Gündogan,43,3,54.0,3.0
Isaac Success Ajayi,57,3,53.0,0.0
Islam Slimani,4,4,66.0,2.0
Jack Butland,110,1,50.0,5.0
Jack Cork,90,3,45.0,2.0
Jack Wilshere,3,3,51.0,0.0
Jake Livermore,35,3,48.0,10.0
Jakob Haugaard,110,1,40.0,0.0
James Collins,21,2,43.0,0.0
James McArthur,31,3,43.0,3.0
James McCarthy,11,3,49.0,0.0
James McClean,35,3,47.0,2.0
James Milner,14,3,60.0,1.0
James Morrison,35,3,53.0,0.0
James Tarkowski,90,2,46.0,6.0
James Tomkins,31,2,43.0,6.0
Jason Puncheon,31,3,44.0,0.0
Javier Manquillo,4,2,42.0,0.0
Jay Fulton,80,3,43.0,0.0
Jay Rodriguez,35,3,53.0,2.0
Jefferson Montero,80,3,49.0,0.0
Jeffrey Schlupp,31,2,47.0,0.0
Jeff Hendrick,90,3,54.0,1.0
Jerome Sinclair,57,4,49.0,0.0
Joel Matip,14,2,54.0,0.0
Joel Robles,11,1,42.0,0.0
Joel Ward,31,2,47.0,5.0
Joe Allen,110,3,51.0,2.0
Joe Hart,21,1,42.0,1.0
Johann Berg Gudmundsson,90,3,50.0,2.0
John Stones,43,2,53.0,0.0
Jonathan Leko,35,3,45.0,0.0
Jonathan Walters,90,3,51.0,0.0
Jonjoe Kenny,11,2,40.0,0.0
Jonny Evans,35,2,49.0,1.0
Jon Flanagan,14,2,44.0,0.0
Jordan Ayew,80,4,53.0,2.0
Jordan Henderson,14,3,53.0,2.0
Jordan Pickford,11,1,49.0,6.0
Jordon Mutch,31,3,45.0,0.0
Jose Luis Mato Sanmartín,4,4,55.0,0.0
Joseph Gomez,14,2,45.0,1.0
Jose Fonte,21,2,47.0,0.0
Josh Cullen,21,3,45.0,0.0
Josh Tymon,110,2,44.0,0.0
José Holebas,57,2,48.0,6.0
Julian Speroni,31,1,40.0,0.0
Julien Ngoy,110,4,45.0,0.0
Kane Wilson,35,2,40.0,0.0
Keshi Anderson,31,4,45.0,0.0
Kevin De Bruyne,43,3,103.0,8.0
Kevin Long,90,2,40.0,2.0
Kevin Mirallas,11,3,60.0,0.0
Kevin Wimmer,110,2,40.0,0.0
Kieran Gibbs,35,2,50.0,1.0
Kristoffer Nordfeldt,80,1,39.0,0.0
Kurt Zouma,110,2,54.0,1.0
Kyle Naughton,80,2,46.0,0.0
Kyle Walker,43,2,66.0,0.0
Laurent Koscielny,3,2,60.0,2.0
Lee Grant,110,1,42.0,0.0
Leighton Baines,11,2,56.0,8.0
Leiva Lucas,14,3,45.0,0.0
Leon Britton,80,3,44.0,0.0
Leroy Fer,80,3,52.0,0.0
Leroy Sané,43,3,85.0,0.0
Loris Karius,14,1,49.0,2.0
Lucas Pérez,3,4,74.0,0.0
Luciano Narsingh,80,3,47.0,0.0
Lukasz Fabianski,80,1,47.0,9.0
Luka Milivojevic,31,3,52.0,3.0
Maarten Stekelenburg,11,1,42.0,0.0
Mamadou Sakho,31,2,46.0,8.0
Mame Biram Diouf,110,4,52.0,5.0
Manuel Agudo Durán,43,3,70.0,0.0
Manuel Lanzini,21,3,66.0,4.0
Marcus Browne,21,3,45.0,0.0
Marc Muniesa,110,2,45.0,0.0
Marko Arnautovic,21,3,70.0,6.0
Marko Grujic,14,3,42.0,0.0
Mark Noble,21,3,53.0,2.0
Martin Kelly,31,2,42.0,0.0
Martin Olsson,80,2,50.0,-1.0
Mason Holgate,11,2,40.0,0.0
Mathieu Debuchy,3,2,45.0,0.0
Matthew Lowton,90,2,44.0,2.0
Matthew Pennington,11,2,40.0,0.0
Matt Macey,3,1,50.0,0.0
Matt Phillips,35,3,54.0,2.0
Mauro Zárate,57,4,54.0,0.0
Mesut Özil,3,3,93.0,0.0
Michael Folivi,57,4,45.0,0.0
Michael Keane,11,2,53.0,8.0
Michail Antonio,21,3,74.0,0.0
Miguel Britos,57,2,43.0,0.0
Mike van der Hoorn,80,2,44.0,0.0
Modou Barrow,80,4,50.0,0.0
Mohamed Diamé,4,3,46.0,2.0
Mohamed Elneny,3,3,42.0,1.0
Molla Wagué,57,2,45.0,0.0
Morgan Schneiderlin,11,3,47.0,1.0
Moses Makasi,21,3,45.0,0.0
Muhamed Bešić,11,3,42.0,0.0
Nacer Chadli,35,3,56.0,0.0
Nacho Monreal,3,2,56.0,9.0
Nathaniel Chalobah,57,3,42.0,0.0
Nathaniel Clyne,14,2,53.0,0.0
Nathan Dyer,80,3,44.0,0.0
Nick Pope,90,1,50.0,2.0
Nicolás Otamendi,43,2,63.0,0.0
Nordin Amrabat,57,3,50.0,0.0
Olayinka Fredrick Oladotun Ladapo,31,4,45.0,0.0
Oleksandr Zinchenko,43,3,50.0,0.0
Oliver McBurnie,80,4,46.0,0.0
Oluwaseyi Ojo,14,3,50.0,0.0
Oluwatosin Adarabioyo,43,2,40.0,0.0
Oumar Niasse,11,4,47.0,1.0
Pablo Zabaleta,21,2,49.0,-1.0
Pape Souaré,31,2,45.0,0.0
Patrick van Aanholt,31,2,51.0,5.0
Paul Robinson,90,1,45.0,0.0
Pedro Obiang,21,3,42.0,0.0
Per Mertesacker,3,2,47.0,0.0
Peter Crouch,110,4,48.0,2.0
Petr Cech,3,1,53.0,0.0
Philippe Coutinho,14,3,91.0,0.0
Phil Bardsley,90,2,42.0,0.0
Phil Jagielka,11,2,47.0,7.0
Ragnar Klavan,14,2,41.0,1.0
Raheem Sterling,43,3,89.0,11.0
Ramadan Sobhi,110,3,45.0,0.0
Ramiro Funes Mori,11,2,49.0,0.0
Reece Burke,21,2,40.0,0.0
Reece Oxford,21,2,45.0,0.0
Rekeem Harper,35,3,45.0,0.0
Robbie Brady,90,3,53.0,0.0
Robert Kenedy Nunes do Nascimento,4,3,48.0,1.0
Roberto Firmino,14,3,95.0,1.0
Roberto Pereyra,57,3,58.0,1.0
