name,team,position,value,total_points
Aaron Cresswell,21,2,50.0,4.0
Aaron Lennon,90,3,49.0,0.0
Adam Lallana,14,3,69.0,3.0
Adam Smith,91,2,43.0,0.0
Ademola Lookman,11,3,50.0,0.0
Adrián San Miguel del Castillo,21,1,43.0,0.0
Alberto Moreno,14,2,41.0,0.0
Alex Oxlade-Chamberlain,14,3,64.0,0.0
Alex Pritchard,38,3,48.0,1.0
Alfie Mawson,54,2,48.0,0.0
Andrew Robertson,14,2,69.0,2.0
Andrew Surman,91,3,46.0,0.0
Andy Carroll,21,4,54.0,0.0
Angelo Ogbonna,21,2,42.0,7.0
Arthur Masuaku,21,2,43.0,0.0
Artur Boruc,91,1,41.0,2.0
Ashley Barnes,90,4,57.0,2.0
Ashley Westwood,90,3,46.0,2.0
Ashley Williams,11,2,45.0,0.0
Asmir Begovic,91,1,43.0,0.0
Benjamin Chilwell,13,2,50.0,2.0
Ben Gibson,90,2,48.0,0.0
Ben Hamer,38,1,39.0,0.0
Ben Mee,90,2,46.0,1.0
Callum Wilson,91,4,65.0,2.0
Calum Chambers,54,2,42.0,1.0
Cesc Fàbregas,8,3,62.0,0.0
Charlie Daniels,91,2,41.0,0.0
Christian Fuchs,13,2,41.0,1.0
Cuco Martina,11,2,45.0,0.0
César Azpilicueta,8,2,63.0,1.0
Daniel Amartey,13,3,43.0,0.0
Daniel Drinkwater,8,3,46.0,0.0
Daniel Sturridge,14,4,56.0,1.0
Danny Simpson,13,2,42.0,0.0
Dan Gosling,91,3,47.0,0.0
David Luiz Moreira Marinho,8,2,59.0,1.0
DeAndre Yedlin,4,2,45.0,4.0
Declan Rice,21,3,47.0,1.0
Dejan Lovren,14,2,49.0,0.0
Demarai Gray,13,3,54.0,1.0
Divock Origi,14,4,50.0,1.0
Dominic Calvert-Lewin,11,4,53.0,5.0
Dominic Solanke,91,4,47.0,4.0
Eden Hazard,8,3,109.0,2.0
Edimilson Fernandes,21,3,45.0,0.0
Eldin Jakupovic,13,1,43.0,0.0
Emerson Hyndman,91,3,45.0,0.0
Federico Fernández,4,2,44.0,1.0
Gary Cahill,8,2,50.0,0.0
Georginio Wijnaldum,14,3,55.0,2.0
Gylfi Sigurdsson,11,3,73.0,6.0
Harry Maguire,13,2,54.0,-2.0
Håvard Nordtveit,54,3,45.0,0.0
Idrissa Gueye,11,3,47.0,3.0
Jack Cork,90,3,46.0,2.0
Jack Wilshere,21,3,48.0,0.0
James McCarthy,11,3,44.0,0.0
James Milner,14,3,56.0,7.0
James Tarkowski,90,2,47.0,1.0
Jamie Vardy,13,4,91.0,2.0
Jason Puncheon,38,3,42.0,1.0
Javier Manquillo,4,2,43.0,0.0
Jeff Hendrick,90,3,52.0,0.0
Jermain Defoe,91,4,56.0,0.0
Joel Matip,14,2,49.0,2.0
Joe Hart,90,1,42.0,0.0
Johann Berg Gudmundsson,90,3,55.0,2.0
Jonathan Walters,90,3,47.0,0.0
Jonjoe Kenny,11,2,42.0,0.0
Jonny Evans,13,2,48.0,2.0
Jordan Henderson,14,3,53.0,0.0
Jordan Pickford,11,1,49.0,9.0
Jordon Ibe,91,3,50.0,1.0
Jose Luis Mato Sanmartín,4,4,47.0,0.0
Joseph Gomez,14,2,48.0,0.0
Joshua King,91,3,65.0,13.0
Junior Stanislas,91,3,60.0,0.0
Kasper Schmeichel,13,1,50.0,2.0
Kelechi Iheanacho,13,4,57.0,0.0
Kevin Long,90,2,41.0,0.0
Kevin Mirallas,11,3,55.0,0.0
Kurt Zouma,11,2,50.0,0.0
Lazar Markovic,54,3,49.0,0.0
Leighton Baines,11,2,50.0,0.0
Lewis Cook,91,3,47.0,0.0
Loris Karius,14,1,49.0,0.0
Lucas Pérez,21,4,62.0,1.0
Lukasz Fabianski,21,1,48.0,1.0
Lys Mousset,91,4,49.0,0.0
Maarten Stekelenburg,11,1,39.0,0.0
Manuel Lanzini,21,3,64.0,5.0
Marcos Alonso,8,2,64.0,0.0
Marc Albrighton,13,3,51.0,0.0
Marc Pugh,91,3,43.0,0.0
Marko Arnautovic,21,3,69.0,2.0
Mark Noble,21,3,48.0,6.0
Mason Holgate,11,2,43.0,0.0
Matej Vydra,90,4,56.0,1.0
Matthew Lowton,90,2,46.0,0.0
Michael Keane,11,2,48.0,6.0
Michail Antonio,21,3,68.0,1.0
Mohamed Diamé,4,3,48.0,2.0
Morgan Schneiderlin,11,3,42.0,1.0
