name,team,position,value,total_points
Aaron Cresswell,21,2,47.0,14.0
Aaron Lennon,90,3,47.0,1.0
Aaron Ramsdale,91,1,47.0,1.0
Aaron Wan-Bissaka,1,3,54.0,1.0
Abdoulaye Doucouré,57,3,57.0,2.0
Adama Traoré,39,3,52.0,2.0
Adam Lallana,14,3,58.0,1.0
Adam Smith,91,2,43.0,0.0
Ademola Lookman,11,3,50.0,0.0
Adrian Mariappa,57,2,42.0,1.0
Adrián San Miguel del Castillo,14,1,42.0,1.0
Ahmed El Mohamady,7,3,42.0,0.0
Ainsley Maitland-Niles,3,3,47.0,0.0
Alexis Sánchez,1,3,68.0,0.0
Alex Iwobi,11,3,57.0,2.0
Alex McCarthy,20,1,43.0,2.0
Alex Oxlade-Chamberlain,14,3,62.0,3.0
Andreas Pereira,1,3,50.0,2.0
Andrew Robertson,14,2,70.0,2.0
Andrew Surman,91,3,47.0,0.0
Andre Gray,57,4,57.0,1.0
Andros Townsend,31,3,56.0,3.0
Andy Carroll,4,4,54.0,0.0
Andy King,13,3,43.0,0.0
Angelo Ogbonna,21,2,45.0,6.0
Angel Gomes,1,3,48.0,0.0
Angus Gunn,20,1,45.0,0.0
Anthony Martial,1,3,78.0,2.0
Arthur Masuaku,21,2,44.0,1.0
Artur Boruc,91,1,43.0,0.0
Ashley Barnes,90,4,63.0,2.0
Ashley Westwood,90,3,54.0,0.0
Ashley Young,1,3,54.0,0.0
Asmir Begovic,91,1,43.0,0.0
Axel Tuanzebe,1,2,44.0,0.0
Bamidele Alli,6,3,84.0,15.0
Benjamin Chilwell,13,2,59.0,2.0
Ben Davies,6,2,54.0,0.0
Ben Foster,57,1,48.0,2.0
Ben Gibson,90,2,39.0,0.0
Ben Mee,90,2,50.0,1.0
Callum Wilson,91,4,76.0,2.0
Calum Chambers,3,2,44.0,0.0
Carl Jenkinson,3,2,45.0,0.0
Charlie Austin,20,4,60.0,0.0
Charlie Daniels,91,2,43.0,0.0
Cheikhou Kouyaté,31,3,49.0,3.0
Christian Benteke,31,4,57.0,1.0
Christian Eriksen,6,3,87.0,0.0
Christian Fuchs,13,2,43.0,0.0
Christian Kabasele,57,2,43.0,0.0
Chris Smalling,1,2,53.0,0.0
Claudio Bravo,43,1,48.0,0.0
Connor Wickham,31,4,45.0,0.0
Craig Cathcart,57,2,44.0,1.0
Craig Dawson,57,2,48.0,0.0
Cédric Soares,3,2,48.0,2.0
César Azpilicueta,8,2,59.0,0.0
Daniel Amartey,13,3,43.0,0.0
Daniel Drinkwater,7,3,44.0,0.0
Daniel James,1,3,62.0,2.0
Danny Ings,20,4,61.0,9.0
Danny Rose,4,2,54.0,0.0
Danny Welbeck,57,4,58.0,0.0
Dan Gosling,91,3,49.0,1.0
Daryl Janmaat,57,2,44.0,0.0
David de Gea,1,1,55.0,1.0
David Luiz Moreira Marinho,3,2,58.0,1.0
David Silva,43,3,76.0,5.0
DeAndre Yedlin,4,2,44.0,0.0
Declan Rice,21,3,48.0,3.0
Dejan Lovren,14,2,53.0,2.0
Demarai Gray,13,3,52.0,0.0
Divock Origi,14,4,52.0,1.0
Domingos Quina,57,3,44.0,0.0
Dominic Calvert-Lewin,11,4,58.0,2.0
Dominic Solanke,91,4,53.0,2.0
Eldin Jakupovic,13,1,43.0,0.0
Eric Bailly,1,2,49.0,0.0
Eric Dier,6,3,49.0,2.0
Erik Lamela,6,3,57.0,0.0
Erik Pieters,90,2,46.0,0.0
Etienne Capoue,57,3,48.0,6.0
Fabian Delph,11,3,54.0,0.0
Federico Fernández,4,2,44.0,1.0
Fernando Luiz Rosa,43,3,52.0,1.0
Fraser Forster,20,1,43.0,0.0
Gabriel Fernando de Jesus,43,4,95.0,2.0
Gary Cahill,31,2,45.0,0.0
Georges-Kévin Nkoudou,6,3,50.0,0.0
Georginio Wijnaldum,14,3,54.0,2.0
Gerard Deulofeu,57,3,61.0,2.0
Granit Xhaka,3,3,52.0,2.0
Gylfi Sigurdsson,11,3,74.0,1.0
Harry Kane,6,4,109.0,2.0
Harry Lewis,20,1,40.0,0.0
Harry Maguire,1,2,53.0,0.0
Harry Wilson,91,3,60.0,12.0
Harry Winks,6,3,53.0,1.0
Henrikh Mkhitaryan,3,3,68.0,0.0
Heung-Min Son,6,3,97.0,10.0
Heurelho da Silva Gomes,57,1,44.0,0.0
Hugo Lloris,6,1,53.0,0.0
Héctor Bellerín,3,2,54.0,0.0
Idrissa Gueye,11,3,50.0,0.0
Ilkay Gündogan,43,3,52.0,1.0
Isaac Success Ajayi,57,3,48.0,0.0
Jack Cork,90,3,50.0,2.0
Jack Stephens,20,2,43.0,2.0
Jack Wilshere,21,3,47.0,0.0
James Chester,7,2,43.0,0.0
James McArthur,31,3,52.0,3.0
James McCarthy,31,3,44.0,0.0
James Milner,14,3,53.0,0.0
James Tarkowski,90,2,51.0,1.0
James Tomkins,31,2,50.0,8.0
James Ward-Prowse,20,3,58.0,9.0
Jamie Vardy,13,4,98.0,6.0
Jan Vertonghen,6,2,52.0,1.0
Javier Manquillo,4,2,43.0,0.0
Jay Rodriguez,90,3,57.0,1.0
Jeffrey Schlupp,31,2,55.0,6.0
Jeff Hendrick,90,3,54.0,2.0
Jesse Lingard,1,3,63.0,1.0
Joel Matip,14,2,53.0,0.0
Joel Ward,31,2,45.0,0.0
Joe Hart,90,1,43.0,0.0
Johann Berg Gudmundsson,90,3,59.0,0.0
John Stones,43,2,53.0,1.0
Jonny Evans,13,2,51.0,2.0
Jordan Ayew,31,4,51.0,2.0
Jordan Henderson,14,3,54.0,2.0
Jordan Pickford,11,1,54.0,2.0
Jordon Ibe,91,3,47.0,0.0
Jose Luis Mato Sanmartín,4,4,50.0,0.0
Joseph Gomez,14,2,51.0,0.0
Joshua King,91,3,62.0,0.0
José Holebas,57,2,47.0,1.0
Juan Mata,1,3,62.0,2.0
Junior Stanislas,91,3,59.0,0.0
Kasper Schmeichel,13,1,52.0,2.0
Kelechi Iheanacho,13,4,57.0,11.0
Kevin De Bruyne,43,3,102.0,10.0
Kevin Long,90,2,43.0,0.0
Kieran Trippier,6,2,55.0,0.0
Kurt Zouma,8,2,47.0,2.0
Kyle Walker,43,2,58.0,1.0
Laurent Koscielny,3,2,50.0,0.0
Lee Grant,1,1,48.0,0.0
Leighton Baines,11,2,49.0,0.0
Leroy Sané,43,3,93.0,0.0
Lewis Cook,91,3,50.0,5.0
Lukasz Fabianski,21,1,49.0,0.0
Luka Milivojevic,31,3,67.0,3.0
Luke Dreher,31,3,44.0,0.0
Luke Shaw,1,2,54.0,0.0
Lys Mousset,49,4,50.0,9.0
Maarten Stekelenburg,11,1,40.0,0.0
Mamadou Sakho,31,2,50.0,1.0
Manuel Lanzini,21,3,62.0,0.0
Marcos Alonso,8,2,61.0,0.0
Marcos Rojo,1,2,48.0,0.0
Marcus Rashford,1,4,87.0,5.0
Marc Albrighton,13,3,52.0,1.0
Marko Arnautovic,21,3,70.0,0.0
Mark Noble,21,3,50.0,3.0
Martin Kelly,31,2,41.0,6.0
Mason Holgate,11,2,44.0,1.0
Matej Vydra,90,4,53.0,0.0
Matteo Darmian,1,2,49.0,0.0
Matthew Lowton,90,2,45.0,0.0
Matt Targett,7,2,44.0,7.0
Maya Yoshida,20,2,43.0,0.0
Mesut Özil,3,3,72.0,6.0
Michael Keane,11,2,54.0,1.0
Michail Antonio,21,3,69.0,3.0
Michel Vorm,6,1,44.0,0.0
Michy Batshuayi,8,4,66.0,0.0
Mohamed Elneny,3,3,43.0,0.0
Morgan Schneiderlin,11,3,44.0,1.0
Moussa Sissoko,6,3,49.0,7.0
Muhamed Bešić,49,3,45.0,0.0
N'Golo Kanté,8,3,50.0,1.0
Nacho Monreal,3,2,50.0,0.0
Nampalys Mendy,13,3,43.0,0.0
Nathaniel Chalobah,57,3,44.0,1.0
Nathan Aké,91,2,51.0,1.0
Nathan Redmond,20,3,62.0,0.0
Neil Taylor,7,2,44.0,0.0
Nemanja Matic,1,3,48.0,0.0
Nick Pope,90,1,47.0,1.0
Nicolás Otamendi,43,2,51.0,0.0
Oleksandr Zinchenko,43,3,52.0,0.0
Oliver McBurnie,49,4,57.0,1.0
Olivier Giroud,8,4,66.0,2.0
Oriol Romeu Vidal,20,3,44.0,0.0
Pablo Zabaleta,21,2,43.0,0.0
